일련번호,유형,어린이집명,통학차량 운영여부,도로명주소,전화번호,위도,경도,동구분
1,가정,가온어린이집,미운영,인천광역시 연수구 랜드마크로 160 121동 102호 (마리나베이아파트),032-859-0066,37.411938,126.611563,송도동
2,민간,경인어린이집,운영(신고),인천광역시 연수구 넘말로 67 (선학동),032-821-0671,37.430693,126.696847,선학동
3,가정,고운별어린이집,미운영,"인천광역시 연수구 원인재로 232 108동 108호(연수동, 솔밭마을아파트)",032-812-0108,37.414683,126.687855,연수동
4,민간,공룡숲어린이집,운영(신고),인천광역시 연수구 비류대로256번길 7-9,032-834-0525,37.426531,126.663913,청학동
5,국공립,구립그린워크1차어린이집,미운영,인천광역시 연수구 아트센터대로97번길 30 1605동 1층,032-858-7805,37.399717,126.640232,송도동
6,국공립,구립그린워크2차어린이집,미운영,인천광역시 연수구 아트센터대로97번길 15 1106동 1층,032-858-7655,37.397889,126.645143,송도동
7,국공립,구립늘품어린이집,미운영,인천광역시 연수구 봉재산로54번길 30,032-812-6077,37.408142,126.665269,동춘동
8,국공립,구립송도국제어린이집,미운영,인천광역시 연수구 컨벤시아대로130번길 80 관리동(송도푸르지오하버뷰아파트),032-859-1341,37.396857,126.639028,송도동
9,국공립,구립초록숲어린이집,미운영,인천광역시 연수구 함박안로 217,032-817-5335,37.42596,126.680289,연수동
10,국공립,국공립그랑블1단지어린이집,미운영,인천광역시 연수구 봉재산로 20,032-819-2019,37.405839,126.66622,동춘동
11,국공립,국공립그랑블3단지어린이집,미운영,인천광역시 연수구 봉재산로 76 국공립그랑블3단지어린이집,032-229-1117,37.394578,126.651089,동춘동
12,국공립,국공립글로벌파크어린이집,미운영,"인천광역시 연수구 송도문화로28번길 27 관리동(송도동,송도글로벌파크베르디움)",032-821-7522,37.376039,126.657031,송도동
13,국공립,국공립다숲어린이집,미운영,인천광역시 연수구 능허대로446번길 12 국공립다숲어린이집,032-213-0514,37.401167,126.668234,송도동
14,국공립,국공립더테라스어린이집,미운영,"인천광역시 연수구 센트럴로 415 (송도동, 힐스테이트송도더테라스)",032-858-0350,37.380283,126.642913,송도동
15,국공립,국공립레이크2차어린이집,미운영,"인천광역시 연수구 아카데미로 446 (관리동, 힐스테이트레이크송도2차아파트)",032-832-3636,37.397614,126.620911,송도동
16,국공립,국공립레이크어린이집,미운영,인천광역시 연수구 아카데미로312번길 177 국공립레이크어린이집,032-216-0916,37.42811,126.646962,송도동
17,국공립,국공립마리나베이어린이집,미운영,인천광역시 연수구 랜드마크로 160,032-834-7977,37.410853,126.612435,송도동
18,국공립,국공립마스터뷰2단지어린이집,미운영,"인천광역시 연수구 컨벤시아대로274번길 35 관리동(송도동,송도더샵마스터뷰22BL)",032-832-2205,37.391075,126.648036,송도동
19,국공립,국공립베르디움어린이집,미운영,"인천광역시 연수구 랜드마크로 110 (관리동, 호반베르디움 EDU CITY 아파트)",032-859-9900,37.369304,126.656625,송도동
20,국공립,국공립송도랜드마크시티어린이집,미운영,인천광역시 연수구 랜드마크로 68,032-833-8826,37.415512,126.619686,송도동
21,국공립,국공립송도베베맘어린이집,미운영,인천광역시 연수구 해돋이로6번길 33 110동 104호,032-831-6544,37.388992,126.658736,송도동
22,국공립,국공립송도센트럴시티어린이집,미운영,"인천광역시 연수구 송도국제대로 261 관리동(송도동,송도더샵센트럴시티)",032-815-0261,37.373832,126.650899,송도동
23,국공립,국공립송도에듀포레푸르지오어린이집,미운영,"인천광역시 연수구 송도문화로84번길 24 관리동(송도동,송도에듀포레푸르지오)",032-811-7726,37.372751,126.659912,송도동
24,국공립,국공립아메리칸타운어린이집,미운영,인천광역시 연수구 송도과학로27번길 15,032-814-7002,37.385487,126.662672,송도동
25,국공립,국공립아이편한어린이집,미운영,"인천광역시 연수구 랜드마크로 113 관리동(송도동,e편한세상송도)",032-858-9300,37.41257,126.61868,송도동
26,국공립,국공립에스케이뷰도담어린이집,미운영,인천광역시 연수구 랜드마크로 19 국공립에스케이뷰도담어린이집,032-213-5959,37.413622,126.622376,송도동
27,국공립,국공립에스케이뷰센트럴어린이집,미운영,"인천광역시 연수구 하모니로188번길 17 관리동(송도동, 송도에스케이뷰센트럴)",032-851-3636,37.378894,126.638845,송도동
28,국공립,국공립캠퍼스타운어린이집,미운영,"인천광역시 연수구 송도과학로27번길 55 관리동(송도동,롯데캐슬캠퍼스타운)",032-822-2755,37.388054,126.665132,송도동
29,국공립,국공립코끼리어린이집,미운영,인천광역시 연수구 먼우금로 299 4동 105호,032-471-0805,37.423055,126.68054,연수동
30,국공립,국공립파크레인어린이집,미운영,인천광역시 연수구 능허대로 343 국공립파크레인어린이집,032-257-5630,37.407229,126.658517,동춘동
31,국공립,국공립파크애비뉴어린이집,미운영,인천광역시 연수구 컨벤시아대로252번길 10,032-859-1240,37.392921,126.646044,송도동
32,국공립,국공립파크자이어린이집,미운영,인천광역시 연수구 앵고개로104번길 22 국공립파크자이어린이집,032-215-2007,37.410262,126.655253,동춘동
33,국공립,국공립퍼스트키즈어린이집,미운영,"인천광역시 연수구 송도문화로84번길 84 관리동(송도동,베르디움더퍼스트)",032-811-1202,37.372751,126.659912,송도동
34,국공립,국공립퍼스트파크13어린이집,미운영,"인천광역시 연수구 컨벤시아대로252번길 70 관리동(송도동,송도더샵퍼스트파크F13-1BL)",032-832-9102,37.391075,126.648036,송도동
35,국공립,국공립퍼스트파크14어린이집,미운영,"인천광역시 연수구 컨벤시아대로252번길 50 관리동(송도동,송도더샵퍼스트파크F14BL)",032-833-7977,37.391075,126.648036,송도동
36,국공립,국공립퍼스트파크15어린이집,미운영,"인천광역시 연수구 컨벤시아대로252번길 30 관리동(송도동,송도더샵퍼스트파크F15BL)",032-833-3015,37.391075,126.648036,송도동
37,국공립,국공립해나어린이집,미운영,인천광역시 연수구 청능대로 124 116동 102호,032-815-1519,37.410854,126.676008,동춘동
38,국공립,국공립해누리어린이집,운영(신고),인천광역시 연수구 독배로90번길 26 국공립해누리어린이집,032-831-0150,37.42811,126.646962,옥련동
39,국공립,국공립해늘어린이집,미운영,"인천광역시 연수구 송도과학로27번길 70 (관리동, 롯데캐슬아파트)",032-811-8809,37.386964,126.667458,송도동
40,국공립,국공립해모로월드뷰어린이집,미운영,"인천광역시 연수구 송도과학로27번길 30 관리동(송도동,송도해모로월드뷰)",032-815-0316,37.384215,126.663317,송도동
41,국공립,국공립햇살어린이집,미운영,"인천광역시 연수구 송도과학로51번길 136 (관리동, 송도캐슬앤해모로어린이집)",032-815-9548,37.38448,126.674873,송도동
42,가정,그린나래어린이집,미운영,"인천광역시 연수구 아카데미로312번길 177 104동 101호(송도동, 힐스테이트레이크송도아파트)",032-833-1542,37.37802,126.628698,송도동
43,민간,그린숲어린이집,미운영,인천광역시 연수구 송도문화로28번길 81 송도더샵 그린스퀘어아파트,032-821-0843,37.371482,126.653234,송도동
44,가정,그린애비뉴어린이집,미운영,"인천광역시 연수구 컨벤시아대로42번길 35 708동 201호 (송도동, 송도더샵 그린애비뉴)",032-271-9973,37.399799,126.647979,송도동
45,가정,그린워크어린이집,미운영,"인천광역시 연수구 아트센터대로97번길 30 1604동 202호 (송도동, 더샵 그린워크1차)",032-831-7170,37.401751,126.640457,송도동
46,가정,그린키즈빌어린이집,미운영,"인천광역시 연수구 컨벤시아대로42번길 61 811동 201호 (송도동, 송도더샵 그린애비뉴)",032-282-0101,37.400799,126.646534,송도동
47,민간,그린키즈어린이집,미운영,"인천광역시 연수구 아트센터대로97번길 20 관리동(1층)(송도동, 그린워크3차 17블럭)",032-834-6232,37.399717,126.640232,송도동
48,민간,글로벌키즈어린이집,미운영,"인천광역시 연수구 송도문화로28번길 28 (송도동,글로벌캠퍼스푸르지오)",032-811-7088,37.376661,126.653793,송도동
49,민간,금호어린이집,운영(신고),인천광역시 연수구 해돋이로84번길 30 금호어울림아파트 관리동 (송도동),032-831-6820,37.391606,126.655534,송도동
50,가정,꼬꼬마어린이집,미운영,인천광역시 연수구 랜드마크로 19 sk뷰 101동 101호,032-233-1113,37.413622,126.622376,송도동
51,가정,꼬마나무어린이집,미운영,"인천광역시 연수구 송도문화로28번길 28 103동 203호(송도동, 송도글로벌캠퍼스푸르지오)",070-4079-4001,37.376661,126.653793,송도동
52,가정,꼬마마리나어린이집,미운영,인천광역시 연수구 랜드마크로 160 마리나베이아파트 119동 101호,032-834-6005,37.411938,126.611563,송도동
53,가정,꼬마별어린이집,미운영,"인천광역시 연수구 해돋이로6번길 7 105동 103호(송도동, 송도국제도시현대아이파크)",032-868-5222,37.387724,126.658444,송도동
54,가정,꼬마천사어린이집,미운영,"인천광역시 연수구 신송로118번길 6 104동 102호(송도동, 송도풍림아이원1단지아파트)",032-851-1255,37.395106,126.6547,송도동
55,가정,꼬마캐슬어린이집,미운영,"인천광역시 연수구 송도과학로27번길 55 105동 204호(송도동,롯데캐슬캠퍼스타운)",032-221-8782,37.388054,126.665132,송도동
56,가정,꾸러기어린이집,미운영,"인천광역시 연수구 원인재로 212 116동 103호(연수동, 연수1차아파트)",032-818-5087,37.414683,126.687855,연수동
57,가정,꿈나무어린이집,미운영,"인천광역시 연수구 먼우금로 302 102동 105호(연수동, 유천아파트)",032-815-6533,37.422769,126.684308,연수동
58,가정,꿈샘어린이집,미운영,"인천광역시 연수구 새말로 154 306동 107호(연수동, 주공아파트)",032-233-7676,37.415534,126.6852,연수동
59,가정,꿈이쑥쑥어린이집,미운영,"인천광역시 연수구 새말로 21 102동 106호(연수동, 동남아파트)",032-223-1004,37.423908,126.675003,연수동
60,민간,꿈트리키즈어린이집,미운영,"인천광역시 연수구 컨벤시아대로274번길 55 관리동 1층(송도4동, 송더 더샵 마스터뷰 21BL)",032-851-7616,37.382932,126.633387,송도동
61,민간,나래어린이집,운영(신고),인천광역시 연수구 먼우금로 19 동남아파트 단지내 (동춘동),032-822-7778,37.407683,126.671176,동춘동
62,법인·단체등,남인천어린이집,운영(신고),인천광역시 연수구 청학로6번길 52,032-833-3002,37.426995,126.666073,청학동
