일련번호,구분,학교명,학생수,주소,교무실번호,행정실번호,위도,경도,동구분
1,초등학교,능허대초등학교,939,한진로 12,837-7299,831-7200,37.424084,126.648761,옥련동
2,초등학교,동막초등학교,584,원인재로 36,814-2148,814-2149,37.40267,126.674402,동춘동
3,초등학교,동춘초등학교,707,앵고개로 224,812-5561,821-7156,37.409803,126.668643,동춘동
4,초등학교,먼우금초등학교,907,해돋이로84번길 33,629-6310,629-6242,37.392941,126.65432,송도동
5,초등학교,명선초등학교,1114,컨벤시아대로42번길 64,851-7301,851-7301,37.401513,126.64725,송도동
6,초등학교,문남초등학교,596,먼우금로 273,815-2078,815-2079,37.42098,126.679399,연수동
7,초등학교,미송초등학교,798,아카데미로 667,510-7797,509-1000,37.37802,126.628698,송도동
8,초등학교,박문초등학교,461,봉재산로 138-22,810-8502,810-8504,37.403033,126.665469,동춘동
9,초등학교,서면초등학교,547,먼우금로 54,819-0291,819-0294,37.403746,126.670646,연수동
10,초등학교,선학초등학교,609,선학로 67,814-2571,814-2572,37.423993,126.700182,선학동
11,초등학교,송도초등학교,423,비류대로214번길 21,629-3592,629-3636,37.426586,126.658488,옥련동
12,초등학교,송명초등학교,1420,송도교육로 19,830-7505,830-7509,37.383912,126.643855,송도동
13,초등학교,송원초등학교,1031,송도과학로51번길 60,830-7314,830-7320,37.383912,126.643855,송도동
14,초등학교,신송초등학교,718,해돋이로56번길 28,858-0940,858-0940,37.389889,126.657322,송도동
15,초등학교,신정초등학교,1504,아트센터대로97번길 72,851-9050,851-9050,37.39732,126.644402,송도동
16,초등학교,은송초등학교,381,센트럴로 460,510-7510,510-7520,37.394328,126.640779,송도동
17,초등학교,연성초등학교,1041,원인재로 116,629-5080,629-5089,37.408786,126.679422,동춘동
18,초등학교,연수초등학교,395,원인재로 324,816-7111,816-7112,37.422573,126.694589,연수동
19,초등학교,연화초등학교,695,원인재로 150,629-5273,629-5279,37.411373,126.681603,연수동
20,초등학교,예송초등학교,706,컨벤시아대로252번길 75,458-9160,458-9183,37.392921,126.646044,송도동
21,초등학교,옥련초등학교,1005,한진로 30,833-6091,833-6096,37.425555,126.649156,옥련동
22,초등학교,중앙초등학교,392,새말로 153,629-3809,817-8278,37.484562,127.130367,연수동
23,초등학교,청량초등학교,756,먼우금로 158,817-6038,817-6037,37.411901,126.674698,동춘동
24,초등학교,청학초등학교,536,함박뫼로 25,629-5213,629-5265,37.420009,126.670731,청학동
25,초등학교,축현초등학교,404,청량로 176,834-6182,834-8492,37.422667,126.654393,옥련동
26,초등학교,함박초등학교,556,함박뫼로 87,821-0432,629-5541,37.424146,126.677218,연수동
27,초등학교,해송초등학교,838,인천타워대로54번길 46,833-0873,629-6674,37.380811,126.649232,송도동
28,초등학교,송일초등학교,1076,컨벤시아대로252번길 15,550-7700,550-7711,37.392921,126.646044,송도동
29,초등학교,연송초등학교,866,해돋이로 248,460-7700,460-4710,37.390984,126.650837,송도동
30,초등학교,첨단초등학교,1716,송도교육로 20,340-8000,340-8074,37.383912,126.643855,송도동
31,초등학교,새봄초등학교,287,앵고개로 104번길 34,455-8800,455-8800,37.412785,126.656922,동춘동
32,초등학교,현송초등학교,416,아카데미로 312번길 96,858-8966,858-8955,37.37802,126.628698,송도동
33,초등학교,송담초등학교,817,아카데미로 627,456-7007,456-7013,37.37802,126.628698,송도동
34,중학교,능허대중학교,761,송도교육로 31,550-7800,550-7806,37.383912,126.643855,송도동
35,중학교,박문중학교,802,송도과학로51번길 102,890-1965,890-1901,37.383912,126.643855,송도동
36,중학교,선학중학교,399,선학로 19,814-2907,629-7895,37.420776,126.698289,선학동
37,중학교,신송중학교,1253,해돋이로56번길 12,851-0561,851-0562,37.389431,126.656818,송도동
38,중학교,연성중학교,866,원인재로 105,815-4128,815-4129,37.409111,126.677231,동춘동
39,중학교,연수중학교,394,원인재로 231,815-4038,815-4039,37.416549,126.686451,연수동
40,중학교,연화중학교,603,용담로 156,629-8404,822-5581,37.412045,126.680325,연수동
41,중학교,옥련중학교,556,청량로 222,834-1581,834-1581,37.426219,126.654333,옥련동
42,중학교,인송중학교,590,능허대로79번길 55,832-8512,832-8514,37.42668,126.642392,옥련동
43,중학교,인천중학교,402,함박뫼로 203,812-1946,811-3621,37.42119,126.688931,연수동
44,중학교,인천신정중학교,1259,컨벤시아대로 42번길 80,858-9124,858-9123,37.403423,126.645844,송도동
45,중학교,인천여자중학교,437,원인재로 47,629-8283,629-8329,37.404666,126.673934,동춘동
46,중학교,인천해송중학교,847,해송로 148,851-6831,851-6832,37.379943,126.648327,송도동
47,중학교,청량중학교,855,먼우금로 138,629-8213,629-8193,37.410367,126.673046,동춘동
48,중학교,청학중학교,291,함박뫼로 5,817-4038,817-4039,37.418441,126.670482,청학동
49,중학교,함박중학교,266,솔샘로 143,831-1461,831-1462,37.424427,126.661515,청학동
50,중학교,인천예송중학교,1040,아카데미로 212,340-8600,340-8600,37.37802,126.628698,송도동
51,중학교,미송중학교,616,송도동 308-4,858-8824,858-8823,37.383912,126.643855,송도동
52,고등학교,송도고등학교,900,독배로 91,832-3412,832-3411,37.429155,126.644336,옥련동
53,고등학교,신송고등학교,829,신송로6번길 56,851-1612,627-5037,37.391905,126.659601,송도동
54,고등학교,연수고등학교,885,원인재로 145,817-0053,817-0052,37.411527,126.680092,연수동
55,고등학교,연수여자고등학교,863,먼우금로141번길 9,457-1234,457-1299,37.411271,126.671833,동춘동
56,고등학교,옥련여자고등학교,792,옥골로 77,420-4555,420-4513,37.431319,126.649162,옥련동
57,고등학교,인천대건고등학교,798,능허대로 437,627-734,627-0675,37.402253,126.665351,동춘동
58,고등학교,인천생활과학고등학교,600,함박뫼로 103,820-6530,820-6540,37.423678,126.67823,연수동
59,고등학교,인천여자고등학교,831,비류대로506번길 14,810-6395,810-6308,37.422091,126.690052,연수동
60,고등학교,뷰티예술고고등학교,539,원인재로 21,627-3800,627-3800,37.40347,126.671824,동춘동
61,고등학교,인천연송고등학교,699,컨벤시아대로 42번길 72,712-2013,712-2006,37.401513,126.64725,송도동
62,고등학교,인천해송고등학교,865,해송로 20,858-9573,831-0321,37.382244,126.645852,송도동
63,고등학교,인천해양과학고등학교,530,능허대로 71,832-4654,627-6852,37.425903,126.640813,옥련동
64,고등학교,청학공업고등학교,488,용담로 12,817-0121,817-0124,37.420478,126.668551,청학동
65,고등학교,박문여자고등학교,727,송도과학로51번길 16,550-1922,550-1940,37.383912,126.643855,송도동
66,고등학교,인천 포스코고등학교,638,컨벤시아대로42번길 50,850-8620,850-8610,37.401513,126.64725,송도동
67,고등학교,과학예술영재학교,229,아카데미로 192,890-6755,890-6714,37.37802,126.628698,송도동
68,대안학교,인천 청담고등학교,43,앵고개로 132,833-2014,833-2014,37.411807,126.664996,동춘동
69,특수학교,연일학교,218,함박뫼로 208,816-6473,816-6472,37.420293,126.688387,연수동
