지하철역명,도로명주소,전화번호,위도,경도,역구분
문학경기장역,인천광역시 연수구 예술로 2,032-441-3127,37.43470809,126.6980806,인천1호선
선학역,인천광역시 연수구 경원대로 480,032-821-3128,37.42712554,126.6989576,인천1호선
신연수역,인천광역시 연수구 경원대로 368,032-813-3129,37.41795381,126.6938542,인천1호선
원인재역,인천광역시 연수구 벚꽃로 195,1544-7788,37.413272,126.6863299,"인천1호선,수인분당선"
동춘역,인천광역시 연수구 경원대로 180,032-814-5702,37.40490762,126.6807472,인천1호선
동막역,인천광역시 연수구 경원대로 80,032-816-5584,37.39823088,126.6736977,인천1호선
캠퍼스타운역,인천광역시 연수구 송도국제대로 66,032-451-3650,37.38835753,126.6621866,인천1호선
테크노파크역,인천광역시 연수구 송도국제대로 150,032-451-3184,37.38239711,126.6565183,인천1호선
지식정보단지역,인천광역시 연수구 인천타워대로 57,032-451-3650,37.37812043,126.6453825,인천1호선
인천대입구역,인천광역시 연수구 인천타워대로 155,032-451-3186,37.38604587,126.6393888,인천1호선
센트럴파크역,인천광역시 연수구 인천타워대로 240,032-451-3650,37.39301001,126.6347311,인천1호선
국제업무지구역,인천광역시 연수구 인천타워대로 334,032-451-3650,37.40030444,126.6301545,인천1호선
송도달빛축제공원역,인천광역시 연수구 인천타워대로 424,032-451-3189,37.40740182,126.6257708,인천1호선
연수역,인천광역시 연수구 벚꽃로 115,1544-7788,37.41780356,126.6789641,수인분당선
송도역,인천광역시 연수구 비류대로 175,1544-7788,37.42993549,126.654627,수인분당선
