일련번호, 경로당명 , 유형 ,도로명주소, 연락처 ,위도,경도
1, 대암마을경로당 , 구립 ,대암로14번길 19,032-834-0041,37.416771,126.652465
2, 백산1차아파트경로당 , 사립(공동) ,한나루로79번길 11,032-832-6701,37.422375,126.646058
3, 백산2차아파트경로당 , 사립(공동) ,능허대로123번길 8,032-834-1911,37.422026,126.6445
4, 벽산빌리지경로당 , 사립(공동) ,한나루로158번길 31,032-833-6488,37.422495,126.656476
5, 삼성아파트경로당 , 사립(공동) ,독배로40번길 18,032-833-9222,37.423793,126.645572
6, 서해희망아파트경로당 , 사립(공동) ,청량로185번길 16,032-833-8119,37.423716,126.651752
7, 쌍용아파트경로당 , 사립(공동) ,청량로 210,032-212-6448,37.424958,126.65292
8, 옥련경로당 , 구립 ,한나루로157번길 12,032-832-1579,37.424147,126.654653
9, 우성1차아파트경로당 , 사립(공동) ,독배로40번길 48,032-834-1700,37.423672,126.6473
10, 우성2차아파트경로당 , 사립(공동) ,청량로185번길 73,032-832-7780,37.422717,126.648656
11, 청량경로당 , 구립 ,한나루로180번길 23,070-4575-0122,37.424759,126.657473
12, 태평아파트경로당 , 사립(공동) ,한나루로193번길 16,032-834-1426,37.426062,126.6554
13, 풍림아파트경로당 , 사립(공동) ,비류대로186번길 21,032-831-6228,37.426829,126.655886
14, 한국아파트경로당 , 사립(공동) ,청량로199번길 29,032-231-3193,37.423975,126.650251
15, 럭키아파트경로당 , 사립(공동) ,능허대로79번길 30,032-833-0857,37.424488,126.642819
16, 아주아파트경로당 , 사립(공동) ,옥련로99번길 42,032-834-4680,37.426676,126.65261
17, 양지경로당 , 구립 ,옥련로99번길 61-8,032-831-7756,37.427718,126.652175
18, 옥골경로당 , 사립(일반) ,독배로90번길 42-6 동아오피스텔 3동 206호,032-831-0629,37.427971,126.647539
19, 완산종중경로당 , 사립(일반) ,비류대로144번길 30,032-831-9983,37.427926,126.650148
20, 원흥아파트경로당 , 사립(공동) ,독배로 52,032-833-5890,37.425113,126.645362
21, 현대1차아파트경로당 , 사립(공동) ,옥련로 33,032-831-9990,37.427965,126.643673
22, 현대2차아파트경로당 , 사립(공동) ,독배로 58,032-833-6386,37.425813,126.646472
