일련번호,기관명,유형,입소정원수,도로명주소,전화번호,위도,경도,동구분
1,인천영락원,양로시설,70,인천광역시 연수구 청량로 58,032-831-6075,37.41421,126.659652,동춘동
2,영락전문요양센터,요양시설,114,인천광역시 연수구 청량로 60 영락원요양소,032-833-0367,37.413335,126.659759,동춘동
3,인천사할린동포복지회관,요양시설,90,인천광역시 연수구 원인재로 263 인천적십자병원,032-812-7111,37.418242,126.689585,연수동
4,덕화노인요양원,요양시설,40,인천광역시 연수구 청량로109번길 95,032-833-2300,37.414957,126.654008,동춘동
5,모심과돌봄,요양시설,83,인천광역시 연수구 청명로 34 로얄프라자,032-815-3277,37.418131,126.676392,청학동
6,효도마을연수지점,요양시설,18,인천광역시 연수구 함박뫼로50번길 99 상아빌딩 6-7층,032-817-0300,37.418964,126.678253,연수동
7,한가족요양원,요양시설,25,인천광역시 연수구 청능대로 71 2층 한가족간호재활요양원,032-819-0777,37.415767,126.674346,청학동
8,고은요양원,요양시설,108,인천광역시 연수구 용담로85번길 12,032-812-1231,37.416889,126.675649,청학동
9,노인돌봄의집,요양시설,18,인천광역시 연수구 청능말로7번길 1,032-819-6577,37.417594,126.668549,청학동
10,송도요양원,요양시설,92,인천광역시 연수구 청능대로 54 송도요양원,032-811-8827,37.416562,126.672384,동춘동
11,간호나라요양원,요양시설,29,인천광역시 연수구 청능대로 71 향기로운빌딩 8층,032-818-7731,37.415798,126.674337,청학동
12,간호나라2요양원,요양시설,29,인천광역시 연수구 청능대로 71 향기로운빌딩 7층,032-822-7353,37.415798,126.674337,청학동
13,선학요양원,요양시설,89,인천광역시 연수구 예술로20번길 75,032-442-8111,37.434866,126.702726,선학동
14,하늘소리너싱홈요양원,요양시설,23,인천광역시 연수구 계림로58번길 27,032-832-2900,37.427793,126.666381,청학동
15,실버벨요양원,요양시설,29,인천광역시 연수구 비류대로 170,032-833-0410,37.428286,126.653432,옥련동
16,실버벨요양원2,요양시설,45,인천광역시 연수구 비류대로 184 태영프라자 4층,032-833-0412,37.427835,126.655015,옥련동
17,창덕궁그린케어요양원,요양시설,65,인천광역시 연수구 예술로20번길 3,032-427-9996,37.435912,126.698893,선학동
18,연수인하요양원,요양시설,28,인천광역시 연수구 학나래로118번길 30 두형빌딩,032-816-5253,37.427019,126.698029,선학동
19,필그림요양원,요양시설,37,인천광역시 연수구 먼우금로188번길 12,032-814-9950,37.413384,126.676506,연수동
20,축복전문요양원,요양시설,17,인천광역시 연수구 용담로 115 파크타운 5층 축복전문요양원,032-822-8191,37.41502,126.677781,연수동
21,청학숲요양원,요양시설,25,인천광역시 연수구 청솔로 158,032-832-1966,37.433893,126.658624,청학동
22,송도사랑요양원,요양시설,21,인천광역시 연수구 옥련로 147,032-858-7747,37.425609,126.655846,옥련동
23,해오름요양원,요양시설,106,인천광역시 연수구 예술로22번길 76,032-422-2200,37.435543,126.70188,선학동
24,개나리요양원,요양시설,29,인천광역시 연수구 청솔로 11,032-833-9918,37.428055,126.661128,청학동
25,늘푸른요양원,요양시설,9,인천광역시 연수구 한나루로 154 호성빌딩 6층,032-772-4567,37.42336,126.654891,옥련동
26,해가든요양원,요양시설,9,인천광역시 연수구 학나래로6번길 35,032-216-1389,37.42468,126.69755,선학동
28,연수요양원,요양시설,9,인천광역시 연수구 먼우금로 197,032-873-5657,37.414948,126.676153,청학동
29,가족사랑요양원,요양시설,9,인천광역시 연수구 청능대로 93 이리옴프라자 3층 가족사랑요양원,032-821-1101,37.414243,126.675753,청학동
30,부모사랑요양원,요양시설,9,인천광역시 연수구 앵고개로 250 연수메디칼빌딩,032-821-0838,37.408132,126.671504,동춘동
31,꿈꾸는요양원,요양시설,9,인천광역시 연수구 솔밭로 20,032-832-6662,37.414591,126.654098,동춘동
32,(A+)송도요양원,요양시설,9,인천광역시 연수구 컨벤시아대로 69,032-834-8522,37.395661,126.650954,송도동
33,청량산요양원,요양시설,9,인천광역시 연수구 벚꽃로 106 광장프라자 5층 501호,032-822-3892,37.41777,126.677309,청학동
34,연수노인복지센터,요양시설,,인천광역시 연수구 원인재로 180,032-810-5210,37.41179,126.685076,연수동
35,효나눔노인복지센터,요양시설,38,인천광역시 연수구 학나래로118번길 30 3층,032-818-5438,37.427035,126.697992,선학동
36,연수제일주야간보호센터,요양시설,31,인천광역시 연수구 학나래로6번길 3 6층 연수제일 주야간보호센터,032-811-0091,37.424428,126.697505,선학동
37,소망재활주간보호센터,요양시설,45,인천광역시 연수구 먼우금로 189 소망빌딩 7층 712호,032-818-1000,37.414548,126.675892,청학동
38,연수노인주야간보호센터,요양시설,43,인천광역시 연수구 벚꽃로 120 선한빌딩 3층,032-818-1800,37.416864,126.678557,연수동
39,예손주간보호센터2호점,요양시설,59,인천광역시 연수구 청능대로 71 향기로운 빌딩 6층,032-815-6565,37.415798,126.674337,청학동
40,옥련뜰주야간보호센터,요양시설,41,인천광역시 연수구 한나루로 133 박프라자 2층,032-833-1235,37.422776,126.652702,옥련동
41,(A+)송도노인복지센터,요양시설,55,인천광역시 연수구 컨벤시아대로 69 8층,032-834-8522,37.395661,126.650954,송도동
42,청량산주야간보호센터,요양시설,37,인천광역시 연수구 벚꽃로 106 광장프라자 5층 501호,032-822-3892,37.41777,126.677309,청학동
44,연수구립 치매전담형 주간보호센터,요양시설,24,인천광역시 연수구 예술로20번길 15 기억과마음 치매정신통합센터 1층,032-899-9400,37.435747,126.699594,선학동
45,(주)엄마손실버케어 동춘센터,요양시설,31,인천광역시 연수구 동곡재로 50,032-818-0129,37.414481,126.671635,동춘동
48,효재재가노인복지센터,요양시설,,인천광역시 연수구 한나루로186번길 13,032-833-0077,37.42623,126.657306,옥련동
51,선우재가복지센터,요양시설,,인천광역시 연수구 샘말로38번길 14 2층 204호,070-4647-0270,37.412565,126.679405,연수동
