일련번호,상호명,도로명주소,전화번호,위도,경도,단지명,전용면적(㎡),계약년월,거래금액(만원),층,건축년도
1,,인천광역시 연수구 동춘동 먼우금로 69,,37.4056486,126.66889,대동,75.255,202212,"25,000",4,1994
2,,인천광역시 연수구 동춘동 동곡재로117번길 22,,37.4124024,126.667561,대우3,134.025,202209,"36,200",1,1993
3,,인천광역시 연수구 동춘동 먼우금로 19,,37.4013122,126.667983,동남,52.14,202209,"26,700",5,1994
4,,인천광역시 연수구 동춘동 먼우금로 19,,37.4013122,126.667983,동남,52.14,202209,"25,000",11,1994
5,,인천광역시 연수구 동춘동 먼우금로 19,,37.4013122,126.667983,동남,52.14,202210,"27,800",5,1994
6,,인천광역시 연수구 동춘동 먼우금로 19,,37.4013122,126.667983,동남,52.14,202211,"23,000",5,1994
7,,인천광역시 연수구 동춘동 먼우금로 19,,37.4013122,126.667983,동남,52.14,202211,"21,000",3,1994
8,,인천광역시 연수구 동춘동 먼우금로 19,,37.4013122,126.667983,동남,52.14,202212,"19,800",5,1994
9,,인천광역시 연수구 동춘동 먼우금로 19,,37.4013122,126.667983,동남,52.14,202212,"21,000",13,1994
10,,인천광역시 연수구 동춘동 먼우금로 123,,37.411229,126.670029,동춘마을,59.3,202210,"32,000",3,1994
11,,인천광역시 연수구 동춘동 먼우금로 123,,37.411229,126.670029,동춘마을,59.3,202210,"28,500",2,1994
12,,인천광역시 연수구 동춘동 먼우금로 123,,37.411229,126.670029,동춘마을,59.36,202211,"34,000",2,1994
13,,인천광역시 연수구 동춘동 먼우금로 123,,37.411229,126.670029,동춘마을,59.3,202211,"34,000",1,1994
14,,인천광역시 연수구 동춘동 먼우금로 123,,37.411229,126.670029,동춘마을,59.36,202212,"26,000",2,1994
15,,인천광역시 연수구 동춘동 원인재로 81,,37.4073525,126.675727,래미안,95.76,202211,"35,500",3,1993
16,,인천광역시 연수구 동춘동 원인재로 81,,37.4073525,126.675727,래미안,95.76,202211,"38,500",5,1993
17,,인천광역시 연수구 동춘동 원인재로 81,,37.4073525,126.675727,래미안,95.76,202211,"40,500",13,1993
18,,인천광역시 연수구 동춘동 원인재로 14,,37.4015101,126.671099,무지개마을,84.965,202209,"42,500",10,1995
19,,인천광역시 연수구 동춘동 원인재로 14,,37.4015101,126.671099,무지개마을,84.965,202209,"40,500",1,1995
20,,인천광역시 연수구 동춘동 원인재로 14,,37.4015101,126.671099,무지개마을,84.965,202209,"40,000",7,1995
21,,인천광역시 연수구 동춘동 능허대로 343,,37.4068611,126.664355,송도파크레인동일하이빌,84.9044,202209,"59,000",16,2019
22,,인천광역시 연수구 동춘동 능허대로 343,,37.4068611,126.664355,송도파크레인동일하이빌,74.2443,202209,"47,000",30,2019
23,,인천광역시 연수구 동춘동 능허대로 343,,37.4068611,126.664355,송도파크레인동일하이빌,84.9948,202209,"55,000",16,2019
24,,인천광역시 연수구 동춘동 능허대로 343,,37.4068611,126.664355,송도파크레인동일하이빌,84.9948,202209,"55,000",29,2019
25,,인천광역시 연수구 동춘동 능허대로 343,,37.4068611,126.664355,송도파크레인동일하이빌,74.2443,202212,"46,500",25,2019
