일련번호,상호명,도로명주소,전화번호,위도,경도,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세(만원),층,건축년도
1,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202209,"23,100",0,5,1994
2,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202209,"27,000",0,4,1994
3,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202209,"25,000",0,5,1994
4,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,월세,84.945,202209,"2,000",95,1,1994
5,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202210,"21,000",0,1,1994
6,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202210,"20,000",0,1,1994
7,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,월세,84.945,202210,"2,000",100,2,1994
8,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202210,"22,000",0,2,1994
9,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202210,"22,500",0,5,1994
10,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202210,"22,500",0,5,1994
11,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202210,"21,000",0,1,1994
12,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202210,"23,000",0,2,1994
13,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202210,"18,000",0,5,1994
14,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,월세,84.945,202210,"1,000",90,5,1994
15,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202211,"19,000",0,4,1994
16,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,월세,84.945,202211,"2,000",110,4,1994
17,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202211,"12,000",0,3,1994
18,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202212,"25,000",0,2,1994
19,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202212,"20,000",0,1,1994
20,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202212,"20,000",0,2,1994
21,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202212,"20,000",0,2,1994
22,,인천광역시 연수구 동춘동 먼우금로83번길 12,,37.40778509,126.6687872,전세,84.945,202212,"20,000",0,2,1994
23,,인천광역시 연수구 동춘동 먼우금로 69,,37.40599505,126.669564,전세,75.255,202209,"20,500",0,2,1994
24,,인천광역시 연수구 동춘동 먼우금로 69,,37.40599505,126.669564,전세,75.255,202209,"18,900",0,1,1994
25,,인천광역시 연수구 동춘동 먼우금로 69,,37.40599505,126.669564,월세,84.585,202210,"3,000",100,3,1994
