도로명주소,위도,경도,건물명,전용면적(㎡),대지권면적(㎡),계약년월,거래금액(만원),층,건축년도
인천광역시 연수구 동춘동 봉재산로 92,37.4046256,126.667178,산골마을103동,43.27,79.2,202211,"        13,500",-1,2002
인천광역시 연수구 동춘동 앵고개로101번길 14-1,37.41373461,126.6563982,송도비취타운A동,43.89,40.93,202212,"         7,000",-1,1992
인천광역시 연수구 선학동 경원대로467번길 18,37.42617131,126.6975399,덕수빌리지,59.82,30.88,202211,"        12,300",4,2002
인천광역시 연수구 선학동 학나래로 40,37.42519604,126.6967439,디자인타운(105.106),45.796,28.67,202210,"        17,500",3,2016
인천광역시 연수구 선학동 학나래로 34,37.42488412,126.6967359,디자인타운(107.108),46.266,29.33,202209,"        17,800",2,2016
인천광역시 연수구 선학동 경원대로467번길 17-3,37.4258255,126.6974531,선학파크맨션,51.18,25.79,202211,"        12,600",4,2002
인천광역시 연수구 선학동 넘말로47번길 20-1,37.42942287,126.6958719,"아름빌라(6,7동)",39.93,25.02,202209,"         8,000",3,1995
인천광역시 연수구 선학동 넘말로47번길 18,37.42941546,126.6961071,"아름빌라(8,9동)",39.93,25.02,202211,"         6,400",-1,1994
인천광역시 연수구 선학동 학나래로 83-20,37.42800812,126.6968551,연수그린빌라(가동),46,22.33,202211,"         7,300",3,1994
인천광역시 연수구 선학동 경원대로483번길 40,37.42824524,126.6968639,"우미마을(다,라)동",59.79,32.64,202209,"        12,200",4,1995
인천광역시 연수구 선학동 경원대로483번길 40,37.42824524,126.6968639,"우미마을(다,라)동",59.95,32.71,202209,"        10,500",4,1995
인천광역시 연수구 선학동 학나래로 80-3,37.42685145,126.6973518,정민주택104동,39.36,33.03,202209,"         7,500",3,2001
인천광역시 연수구 연수동 먼우금로222번길 35,37.41613207,126.6792983,이레하이니스102동,58.3465,8.45,202209,"        25,000",11,2017
인천광역시 연수구 옥련동 능허대로 121-5,37.42221998,126.6436157,대림빌라,50.6,25.87,202209,"        10,000",2,1992
인천광역시 연수구 옥련동 청룡로 4,37.42438627,126.6559453,도화빌라트,51.16,27.75,202211,"        11,500",5,2004
인천광역시 연수구 옥련동 한진로 67,37.42865974,126.6486772,동남빌라,34.14,27.64,202210,"         3,500",-1,1991
인천광역시 연수구 옥련동 청량로109번길 17,37.41719262,126.6545641,동신파크타운,86.07,134.02,202209,"        14,900",1,1991
인천광역시 연수구 옥련동 한나루로158번길 31,37.42231257,126.6576314,벽산,84.83,158.08,202212,"        24,000",2,1991
인천광역시 연수구 옥련동 인권로9번길 63-9,37.42081949,126.6493881,성신빌라,49.06,54.05,202209,"         8,700",1,1991
인천광역시 연수구 옥련동 인권로9번길 63-9,37.42081949,126.6493881,성신빌라,49.06,54.05,202210,"         7,900",2,1991
인천광역시 연수구 옥련동 대암로14번길 27,37.41644623,126.6527916,세광빌라(562-3),43.84,42.25,202209,"         5,300",2,1991
인천광역시 연수구 옥련동 대암로14번길 27,37.41644623,126.6527916,세광빌라(562-3),43.84,42.25,202211,"         7,000",1,1991
인천광역시 연수구 옥련동 청량로164번길 17-3,37.4215949,126.653441,송도아트빌라(405-31),35.88,31.29,202212,"         7,500",3,1991
인천광역시 연수구 옥련동 청룡로29번길 45,37.42555576,126.6582816,송도주택,37.14,22.17,202209,"         7,000",1,1991
인천광역시 연수구 옥련동 청룡로29번길 45,37.42555576,126.6582816,송도주택,37.52,22.4,202211,"         8,700",2,1991
인천광역시 연수구 옥련동 옥련로97번길 12,37.42654329,126.6509226,양지빌라(248-17),35.84,25.25,202209,"         9,000",3,1991
인천광역시 연수구 옥련동 옥련로97번길 12,37.42654329,126.6509226,양지빌라(248-17),35.84,25.25,202211,"         4,300",-1,1991
인천광역시 연수구 옥련동 한나루로86번길 47,37.42222674,126.6497971,엘림빌리지,58.828,26.61,202210,"        13,000",2,2002
인천광역시 연수구 옥련동 한나루로86번길 47,37.42222674,126.6497971,엘림빌리지,58.828,26.61,202211,"         9,500",-1,2002
인천광역시 연수구 옥련동 한나루로86번길 47,37.42222674,126.6497971,엘림빌리지,58.828,26.61,202212,"         9,500",-1,2002
인천광역시 연수구 옥련동 청량로165번길 15-6,37.42141866,126.6516133,오성빌라(418-15),34.65,33.43,202211,"         4,200",-1,1990
인천광역시 연수구 옥련동 청룡로 27,37.42396281,126.6572328,우림빌라(348-173),36.36,27.13,202212,"         7,500",3,1990
인천광역시 연수구 옥련동 독배로26번길 48-10,37.42276055,126.6473239,우성타운,59.96,36.83,202209,"        15,000",4,2010
인천광역시 연수구 옥련동 청룡로30번길 11,37.42351755,126.6567285,우솔빌103동,73.23,42.78,202210,"        24,500",3,2018
인천광역시 연수구 옥련동 청룡로30번길 25,37.42342698,126.6559101,원성주택,52.88,25.1,202210,"        12,000",2,2003
인천광역시 연수구 옥련동 한나루로171번길 7,37.42474785,126.655207,정원스위트빌,64.14,35.11,202210,"        18,000",3,2012
인천광역시 연수구 옥련동 한나루로171번길 5,37.4247523,126.6553256,정원스위트빌2,45.51,24.54,202210,"        12,000",3,2013
인천광역시 연수구 옥련동 한나루로171번길 6-1,37.42502433,126.6554266,진태빌라(352-0),35.336,21.01,202211,"         5,500",3,1991
인천광역시 연수구 옥련동 한나루로124번길 22,37.42158807,126.6513566,청도하이빌,99.16,92.46,202211,"         9,000",-1,2002
인천광역시 연수구 옥련동 청량로 166,37.4216561,126.6527989,청량아트빌,49.53,20.94,202209,"        10,500",3,2002
인천광역시 연수구 옥련동 대암로 28-3,37.41801935,126.6525761,청림빌라(563-15),44.76,35.4,202212,"         9,800",2,1990
인천광역시 연수구 옥련동 능허대로165번길 38,37.42187355,126.6475634,포레스힐,52.61,32.75,202212,"        16,500",2,2018
인천광역시 연수구 옥련동 청룡로42번길 6,37.42341003,126.657198,한샘빌라(348-155),33.36,21.98,202212,"         4,800",-1,1990
인천광역시 연수구 옥련동 청룡로 32,37.42367135,126.6573133,한샘빌라(348-158),40.26,23.93,202210,"         8,000",3,1990
인천광역시 연수구 옥련동 청량로155번길 14,37.42105915,126.6516321,한영빌라(418-16),41.4,42.26,202209,"         4,800",-1,1995
인천광역시 연수구 옥련동 독배로90번길 47,37.42843849,126.6483689,현대라비타1단지,53.84,39.96,202209,"        19,900",1,2017
인천광역시 연수구 옥련동 독배로82번길 27-10,37.42800033,126.6472288,현대힐타운빌(151-2),43.69,27.6,202211,"         9,800",4,2002
인천광역시 연수구 청학동 비류대로278번길 28-17,37.42558333,126.6639435,거산빌라,44.4,25.32,202212,"        12,200",3,1994
인천광역시 연수구 청학동 청학로11번길 12,37.42851143,126.662361,남경주택,37.68,29.63,202211,"        10,000",1,1992
인천광역시 연수구 청학동 비류대로239번길 19-9,37.42788053,126.6616045,대명빌라(524-19),33.21,36.12,202209,"         7,000",1,1990
인천광역시 연수구 청학동 계림로 65,37.42845214,126.6672364,대아힐빌리지(541-17),46.47,25.33,202212,"         4,500",-1,1994
인천광역시 연수구 청학동 계림로57번길 3,37.42876346,126.6666469,대천빌라,41.04,35.45,202209,"        11,500",1,1996
인천광역시 연수구 청학동 청학로 21,37.42896048,126.6632771,대한빌라(522-7),30.36,18.1,202209,"         9,700",3,1993
인천광역시 연수구 청학동 청솔안로 14-1,37.43253625,126.6606223,동부모아빌3차,56.59,35.48,202210,"        21,500",2,2020
인천광역시 연수구 청학동 청솔안로 18,37.43257692,126.6607644,동진파크뷰,43.94,21.1,202211,"        10,000",4,2003
인천광역시 연수구 청학동 청학로28번길 13,37.42980266,126.6639583,산장타운(531-9),39.81,24.1,202211,"        11,500",3,1994
인천광역시 연수구 청학동 비류대로278번길 18-9,37.42574844,126.6646042,상상카운티,48.96,30.84,202209,"        15,000",3,2011
인천광역시 연수구 청학동 계림로 5-1,37.42931568,126.6639231,상신파크빌라(530-13),58.97,41.09,202211,"        10,000",-1,1997
인천광역시 연수구 청학동 비류대로278번길 8-21,37.42627145,126.6641259,새로나그린빌라(563-2),43.48,29.32,202209,"         9,000",4,1994
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,49.15,29.02,202210,"        20,939",4,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,63.99,37.76,202210,"        25,184",4,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,49.91,29.44,202210,"        20,655",4,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,63.57,37.5,202210,"        25,534",5,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,62.44,36.83,202210,"        25,081",5,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,64.25,37.91,202210,"        26,460",5,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,48.04,28.36,202210,"        19,881",4,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,63.99,37.76,202210,"        25,184",3,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,49.15,28.97,202210,"        20,939",3,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,55.92,32.98,202210,"        22,689",2,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,65.69,38.73,202210,"        25,853",2,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,49.15,28.97,202210,"        20,939",2,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,63.99,37.76,202210,"        25,184",2,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,55.92,32.98,202210,"        22,689",3,2022
인천광역시 연수구 청학동 비류대로294번길 6-28,37.42621027,126.6656728,샤인빌,65.69,38.73,202210,"        25,853",3,2022
인천광역시 연수구 청학동 청학로16번길 30,37.42830241,126.6650487,세종파크맨션,91.55,49.82,202211,"        14,000",4,1997
인천광역시 연수구 청학동 계림로 15-5,37.4292866,126.6643997,세진빌라(530-15),37.35,29.5,202211,"         9,200",3,1997
인천광역시 연수구 청학동 비류대로278번길 8-15,37.4261792,126.6645924,신동아빌라,45.78,28.51,202209,"        12,000",4,1994
