도로명주소,위도,경도,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,동구분
인천광역시 연수구 동춘동 봉재산로 90,37.40454766,126.6674117,전세,42.31,202210,28,"         7,350",             0,1,2002,동춘동
인천광역시 연수구 동춘동 봉재산로 92,37.40468278,126.6672731,전세,43.27,202209,15,"         9,500",             0,1,2002,동춘동
인천광역시 연수구 선학동 넘말로 25,37.4289414,126.6974407,월세,36.54,202210,24,"         1,000",            50,2,1995,선학동
인천광역시 연수구 선학동 학나래로 40,37.42519604,126.6967439,전세,45.796,202210,17,"        11,500",             0,3,2016,선학동
인천광역시 연수구 선학동 넘말로 17,37.42880201,126.697887,전세,32.48,202211,23,"         5,500",             0,3,1996,선학동
인천광역시 연수구 선학동 넘말로47번길 18,37.42941546,126.6961071,월세,39.93,202209,22,           500,            50,3,1994,선학동
인천광역시 연수구 선학동 넘말로47번길 18,37.42941546,126.6961071,월세,39.93,202211,7,"         1,000",            50,1,1994,선학동
인천광역시 연수구 선학동 예술로20번길 45-12,37.43545627,126.7016841,월세,52.54,202211,17,"         2,000",            60,3,2011,선학동
인천광역시 연수구 선학동 학나래로 83-12,37.42770627,126.6970031,전세,46.03,202209,7,"         8,500",             0,4,1994,선학동
인천광역시 연수구 선학동 예술로22번길 96,37.43482963,126.7032569,전세,61.075,202210,21,"        14,175",             0,4,2016,선학동
인천광역시 연수구 연수동 함박뫼로50번길 89,37.41921646,126.6778655,월세,19.01,202209,26,           500,            40,9,2017,연수동
인천광역시 연수구 옥련동 청량로155번길 72,37.42136484,126.6486417,전세,49.9,202209,5,"        16,200",             0,3,2017,옥련동
인천광역시 연수구 옥련동 한나루로 160-1,37.42371497,126.655343,전세,42.77,202209,23,"        14,000",             0,3,2019,옥련동
인천광역시 연수구 옥련동 한나루로 160-1,37.42371497,126.655343,전세,42.77,202210,6,"        14,000",             0,3,2019,옥련동
인천광역시 연수구 옥련동 한나루로 160-1,37.42371497,126.655343,전세,43.42,202212,7,"        15,200",             0,2,2019,옥련동
인천광역시 연수구 옥련동 청량로164번길 20,37.42125425,126.6537003,월세,95.38,202210,29,"         3,000",            65,1,2001,옥련동
