도로명주소,위도,경도,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세(만원),층,건축년도,동구분
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,전세,49.32,202209,"        18,900",             0,3,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,전세,46.13,202209,"        18,100",             0,4,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,전세,39.95,202209,"        16,800",             0,21,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,월세,49.32,202209,"         2,000",            90,4,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,전세,46.32,202209,"        22,000",             0,18,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,전세,24.25,202209,"        14,000",             0,7,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,월세,46.32,202209,"         2,000",            90,30,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,전세,24.25,202209,"        14,000",             0,10,2013,송도동
인천광역시 연수구 송도동 송도문화로28번길 28,37.3770832,126.6558312,전세,39.95,202209,"        16,275",             0,3,2013,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,전세,59.52,202209,"        26,250",             0,16,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,전세,27.74,202209,"        15,750",             0,7,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,월세,59.04,202209,"         1,500",            95,11,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,전세,59.15,202209,"        28,350",             0,21,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,전세,27.06,202209,"        16,000",             0,13,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,월세,31.95,202209,           500,            61,10,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,월세,27.43,202209,"         1,000",            73,13,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,월세,27.74,202209,           500,            55,13,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,월세,27.43,202209,           500,            58,11,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,월세,59.04,202209,"         1,000",           105,13,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,전세,31.95,202209,"        15,200",             0,9,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,전세,59.88,202209,"        26,250",             0,4,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,전세,31.95,202209,"        19,000",             0,6,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,전세,59.75,202209,"        27,000",             0,23,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,전세,59.52,202209,"        25,000",             0,21,2020,송도동
인천광역시 연수구 송도동 송도과학로28번길 8,37.38246176,126.6606641,전세,59.2,202209,"        26,250",             0,8,2020,송도동
