상호명,도로명주소,소재지(지번),전화번호,위도,경도,동구분
응접실,"인천광역시 연수구 능허대로267번길 7, 지하1층 (동춘동)",인천광역시 연수구 동춘동 817-5 지하1층 ,,37.413176,126.654068,동춘동
친구,"인천광역시 연수구 앵고개로254번길 19-6 (동춘동,2동(지상6층))",인천광역시 연수구 동춘동 934-4 2동(지상6층) , 032- 815-2204,37.407071,126.671269,동춘동
세트,"인천광역시 연수구 학나래로6번길 63 (선학동,지하1층(무학길 37))",인천광역시 연수구 선학동 405-15 지하1층(무학길 37) , 032- 818-1591,37.425881,126.697916,선학동
블랙펄 노래클럽,"인천광역시 연수구 용담로118번길 11 (연수동,지상2층)",인천광역시 연수구 연수동 598-12 지상2층 , 032- 822-8885,37.413977,126.677414,연수동
카프라단란주점,"인천광역시 연수구 앵고개로83번길 31 (동춘동,1동(지하1층))",인천광역시 연수구 동춘동 817-2 1동(지하1층) , 032- 831-0013,37.413549,126.653813,동춘동
엠.제이(M.J) 라이브,"인천광역시 연수구 능허대로267번길 30 (동춘동,1동 지상2층)",인천광역시 연수구 동춘동 813-7 1동 지상2층 , 032- 832-6890,37.413397,126.655326,동춘동
코코뮤직,"인천광역시 연수구 청량로 82, 지하1층 (동춘동)",인천광역시 연수구 동춘동 800-5 지하1층 , 032- 833-0905,37.415586,126.657595,동춘동
삐삐단란주점,"인천광역시 연수구 청량로 102, 지하1층 (동춘동)",인천광역시 연수구 동춘동 789-21 지하1층 , 032- 833-8007,37.417119,126.656122,동춘동
지베,"인천광역시 연수구 대암로 37 (옥련동,지하1층(대암로37))",인천광역시 연수구 옥련동 526-13 지하1층(대암로37) , 032- 834-3387,37.418364,126.653564,옥련동
가인,"인천광역시 연수구 앵고개로101번길 12-13 (동춘동,지하1층(소암1로35))",인천광역시 연수구 동춘동 805-8 지하1층(소암1로35) , 032-834 -1090,37.403382,126.659116,동춘동
제니스,"인천광역시 연수구 인권로 11, 지상3층 (옥련동)",인천광역시 연수구 옥련동 540-1 지상3층 , 032-859 -7272,37.418737,126.651547,옥련동
학교종이 땡땡땡,"인천광역시 연수구 대암로22번길 20 (옥련동,(지하1층))",인천광역시 연수구 옥련동 561-4 (지하1층) ,,37.417161,126.652332,옥련동
골드문,"인천광역시 연수구 앵고개로87번길 12-16 (동춘동,1동(지하1층))",인천광역시 연수구 동춘동 814-4 1동(지하1층) ,,37.413175,126.656063,동춘동
솜가라오케,"인천광역시 연수구 앵고개로87번길 12-8, 지하1층 (동춘동)",인천광역시 연수구 동춘동 814-8 지하1층 ,,37.413026,126.655604,동춘동
라이브 제이제이(Live JJ),"인천광역시 연수구 앵고개로87번길 12-7 (동춘동,지상2층(소암1로 5))",인천광역시 연수구 동춘동 813-8 지상2층(소암1로 5) ,,37.403382,126.659116,동춘동
종이학라이브,"인천광역시 연수구 먼우금로 88 (동춘동,지하1층 B02호( 먼우금길 38 ))",인천광역시 연수구 동춘동 937-11 지하1층 B02호( 먼우금길 38 ) ,,37.406682,126.670359,동춘동
썸단란주점,"인천광역시 연수구 용담로 115, 204호 (연수동)",인천광역시 연수구 연수동 596-7 ,,37.415072,126.677781,연수동
가무,"인천광역시 연수구 능허대로267번길 34, 지상1층 (동춘동)",인천광역시 연수구 동춘동 813-4 지상1층 일부 ,,37.413497,126.655592,동춘동
링코노래타운 연수2호점,"인천광역시 연수구 먼우금로188번길 17, 선우빌딩 2층 일부호 (연수동)",인천광역시 연수구 연수동 598-10 선우빌딩 2층 일부 ,,37.413594,126.67708,연수동
라이브 우산속,"인천광역시 연수구 앵고개로246번길 39-24, 예은빌딩 3층 (동춘동)",인천광역시 연수구 동춘동 933-16 예은빌딩 ,,37.407136,126.672019,동춘동
해적노래타운,"인천광역시 연수구 먼우금로 190, 2층 209호 (연수동, 연수프라자)",인천광역시 연수구 연수동 597-4 연수프라자(2층) 209호,,37.414007,126.676724,연수동
클래식,"인천광역시 연수구 샘말로87번길 17 (연수동,2동(지하1층))",인천광역시 연수구 연수동 611 2동(지하1층) ,032-814-0075,37.415061,126.679862,연수동
만남의 단란주점,"인천광역시 연수구 청능대로113번길 43 (연수동, 지하1층)",인천광역시 연수구 연수동 598-2 지하1층 ,032-815-3399,37.414195,126.678161,연수동
돈데보이,"인천광역시 연수구 벚꽃로 88, 지하1층 (청학동)",인천광역시 연수구 청학동 494-2 지하1층 ,032-815-7142,37.41878,126.675846,청학동
찐 단란주점,"인천광역시 연수구 용담로85번길 15 (청학동, 지상2층)",인천광역시 연수구 청학동 497-4 지상2층 ,032-816-8428,37.417336,126.675493,청학동
팡팡,"인천광역시 연수구 청능대로113번길 41, 301호 (연수동)",인천광역시 연수구 연수동 598-3 301호 ,032-817-2434,37.414061,126.678043,연수동
놀이터7080,"인천광역시 연수구 청능대로113번길 41, 지상2층 201호 (연수동)",인천광역시 연수구 연수동 598-3 201호,032-817-8797,37.414061,126.678043,연수동
야수뮤직타운단란주점,"인천광역시 연수구 청능대로113번길 41 (연수동, 202호)",인천광역시 연수구 연수동 598-3 202호 ,032-818-7720,37.414061,126.678043,연수동
줄리아라이브,"인천광역시 연수구 용담로 111, 304,305호 (연수동, 아시스타워)","인천광역시 연수구 연수동 596-6 아시스타워 304,305호 ",032-819-7008,37.415215,126.677364,연수동
준 라이브,"인천광역시 연수구 용담로 115 (연수동,파크타운 404-1호(지상4층))",인천광역시 연수구 연수동 596-7 파크타운 404-1호(지상4층) ,032-819-9928,37.41502,126.677781,연수동
씽씽노래빠,"인천광역시 연수구 청능대로113번길 31 (연수동, 301호)",인천광역시 연수구 연수동 598-6 301호 ,032-822-1117,37.413662,126.677661,연수동
브라보7080,"인천광역시 연수구 용담로118번길 3 (연수동, 7층)",인천광역시 연수구 연수동 598 7층 ,032-822-2070,37.414377,126.677886,연수동
카라,"인천광역시 연수구 능허대로 221, 지상2층 (옥련동)",인천광역시 연수구 옥련동 555-5 지상2층 ,032-833-6111,37.416386,126.650843,옥련동
다비바(BAR),"인천광역시 연수구 인권로 1 (옥련동,지상2층)",인천광역시 연수구 옥련동 548-5 지상2층 ,032-834-8448,37.418272,126.650792,옥련동
친구찾기노래클럽,"인천광역시 연수구 용담로 93 (청학동,301호)",인천광역시 연수구 청학동 500-4 301호 ,032-814-8181,37.416289,126.675923,청학동
짝 노래 짱,"인천광역시 연수구 청명로 16 (청학동, 지하1층)",인천광역시 연수구 청학동 497-8 지하1층 ,032-811-5174,37.416863,126.675039,청학동
미스사이공(MISS SAIGON),"인천광역시 연수구 용담로 111 (연수동,아시스타워306,307호 지상3층)","인천광역시 연수구 연수동 596-6 아시스타워306,307호 지상3층 ",032-811-5752,37.415215,126.677364,연수동
슈퍼모델,"인천광역시 연수구 용담로85번길 7 (청학동,(지하1층))",인천광역시 연수구 청학동 497-7 (지하1층) ,032-815-4040,37.417012,126.675167,청학동
1박2일,"인천광역시 연수구 용담로85번길 7 (청학동,지상1층)",인천광역시 연수구 청학동 497-7 지상1층 ,032-815-5144,37.417012,126.675167,청학동
황진이,"인천광역시 연수구 용담로118번길 3 (연수동,CMG빌딩 지하1층)",인천광역시 연수구 연수동 598 CMG빌딩 지하1층 ,032-815-6677,37.414377,126.677886,연수동
마이웨이,"인천광역시 연수구 용담로 111 (연수동,아시스타워801호지상8층)",인천광역시 연수구 연수동 596-6 아시스타워801호지상8층 ,032-818-0058,37.415215,126.677364,연수동
쥬라기공원,"인천광역시 연수구 청능대로113번길 31 (연수동,지하1층)",인천광역시 연수구 연수동 598-6 지하1층 ,032-819-1117,37.413662,126.677661,연수동
여보 여보,"인천광역시 연수구 용담로 87 (청학동, 지상5층)",인천광역시 연수구 청학동 500 지상5층 ,032-821-0502,37.416657,126.675401,청학동
여인궁,"인천광역시 연수구 용담로 87 (청학동,(지상3층))",인천광역시 연수구 청학동 500 (지상3층) ,032-821-0578,37.416657,126.675401,청학동
포세이돈,"인천광역시 연수구 대암로 31, 지하3층 (옥련동)",인천광역시 연수구 옥련동 528 ,032-831-0017,37.418464,126.652836,옥련동
려,"인천광역시 연수구 인권로 20 (옥련동,지상1층(인권로20))",인천광역시 연수구 옥련동 527-3 지상1층(인권로20) ,032-831-0904,37.418672,126.652554,옥련동
벤츠,"인천광역시 연수구 대암로 19, 지상2층 (옥련동)",인천광역시 연수구 옥련동 550-1 지상2층 ,032-831-5714,37.418022,126.651527,옥련동
일기장,"인천광역시 연수구 대암로 31 (옥련동,지하1층 (대암로 31))",인천광역시 연수구 옥련동 528 지하1층 (대암로 31) ,032-832-3651,37.418464,126.652836,옥련동
예술관,"인천광역시 연수구 인권로 15 (옥련동,(지상1층))",인천광역시 연수구 옥련동 539-4 (지상1층) ,032-832-4774,37.418834,126.651861,옥련동
보물섬,"인천광역시 연수구 인권로 16, 지하1층 (옥련동)",인천광역시 연수구 옥련동 530 지하1층 ,032-832-5252,37.418519,126.652234,옥련동
오케이(OK)노래클럽,"인천광역시 연수구 인권로 12 (옥련동, 지상2층)",인천광역시 연수구 옥련동 530-3 지상2층 ,032-832-9898,37.418363,126.651911,옥련동
정노래클럽,"인천광역시 연수구 앵고개로87번길 12-8, 2층 (동춘동)",인천광역시 연수구 동춘동 814-8 2층일부 ,032-833-2714,37.413026,126.655604,동춘동
제이(J),"인천광역시 연수구 인권로 17, 지하1층 (옥련동)",인천광역시 연수구 옥련동 539-3 지하1층 ,032-833-3530,37.418932,126.652015,옥련동
배추노래바,"인천광역시 연수구 능허대로 209-1 (옥련동,지하1층(능허대길 157))",인천광역시 연수구 옥련동 552-7 지하1층(능허대길 157) ,032-833-3755,37.422852,126.643284,옥련동
카카오뮤직타운,"인천광역시 연수구 인권로 2, 지하1층 B01호 (옥련동)","인천광역시 연수구 옥련동 550-3 4,5 B01 지하1층 ",032-833-6633,37.417841,126.651134,옥련동
제니스,"인천광역시 연수구 인권로 11, 3층 (옥련동)",인천광역시 연수구 옥련동 540-1 3층 ,032-833-7271,37.418737,126.651547,옥련동
밀라노,"인천광역시 연수구 인권로 21, 지하2층 (옥련동)",인천광역시 연수구 옥련동 538-3 지하2층 ,032-834-2310,37.419147,126.652506,옥련동
리치노래클럽,"인천광역시 연수구 능허대로 199 (옥련동, 지상2층)","인천광역시 연수구 옥련동 548-3 ,2,3호 지상2층(능허대길141) ",032-834-4425,37.422852,126.643284,옥련동
오투(O2),"인천광역시 연수구 인권로 21 (옥련동,(지상1층))",인천광역시 연수구 옥련동 538-3 (지상1층) ,032-834-8373,37.419147,126.652506,옥련동
야성노래장,"인천광역시 연수구 능허대로 205, 지하1층 (옥련동)",인천광역시 연수구 옥련동 552 지하1층 ,,37.417488,126.650794,옥련동
베트남노래클럽,"인천광역시 연수구 용담로85번길 8-7 (청학동, 지상6층)",인천광역시 연수구 청학동 498-10 지상6층 ,,37.416799,126.675805,청학동
연예인노래밤타운,"인천광역시 연수구 앵고개로246번길 39-8 (동춘동, 백마빌딩 지하1층 )",인천광역시 연수구 동춘동 933-11 백마빌딩 지하1층 ,,37.406799,126.671337,동춘동
에이스,"인천광역시 연수구 인권로 21, 지상2층 (옥련동)",인천광역시 연수구 옥련동 538-3 지상2층 ,,37.419147,126.652506,옥련동
나비,"인천광역시 연수구 인권로 12, 지상1층 (옥련동)",인천광역시 연수구 옥련동 530-3 지상1층 ,,37.418363,126.651911,옥련동
로제,"인천광역시 연수구 능허대로191번길 32 (옥련동, 지하1층)",인천광역시 연수구 옥련동 540-2 지하1층 ,,37.419062,126.651406,옥련동
메이,"인천광역시 연수구 인권로9번길 10, 지하1층 (옥련동)",인천광역시 연수구 옥련동 540-7 지하1층 ,,37.418879,126.651248,옥련동
신세계,"인천광역시 연수구 용담로85번길 8-7 (청학동,지상5층)",인천광역시 연수구 청학동 498-10 지상5층 ,,37.416799,126.675805,청학동
로제2,"인천광역시 연수구 능허대로191번길 32 (옥련동, 지하1층)",인천광역시 연수구 옥련동 540-2 지하1층 ,,37.419062,126.651406,옥련동
러시아,"인천광역시 연수구 인권로 11 (옥련동,지상2층)",인천광역시 연수구 옥련동 540-1 지상2층 ,,37.418737,126.651547,옥련동
클럽아뜨레 라이브1,"인천광역시 연수구 앵고개로87번길 45 (동춘동, 지상2층)",인천광역시 연수구 동춘동 818-1 지상2층 ,,37.4142,126.653976,동춘동
엠(M)라이브,"인천광역시 연수구 인권로 26, 2층 (옥련동)",인천광역시 연수구 옥련동 527 2층 ,,37.419038,126.653139,옥련동
거래처,"인천광역시 연수구 능허대로267번길 42, 지상2층 (동춘동)",인천광역시 연수구 동춘동 813 지상2층 ,,37.413752,126.655969,동춘동
