상호명,도로명주소,위도,경도,동구분
정글바베큐,"인천광역시 연수구 청량로70번길 72 (옥련동, 외 1필지 지상1,2층)",37.41830215,126.6507869,옥련동
성구미,"인천광역시 연수구 인권로 1 (옥련동,(지상1층))",37.41715499,126.6574994,옥련동
삼대째 손두부,"인천광역시 연수구 능허대로 238, 1층 (동춘동)",37.41467902,126.6514571,동춘동
와플뱅,"인천광역시 연수구 컨벤시아대로 50, 1층 104호 (송도동, 푸르지오월드마크)",37.42652619,126.6574769,송도동
송도식당,"인천광역시 연수구 한나루로196번길 8 (옥련동,104호(지상1층))",37.41420579,126.6553571,옥련동
라마다송도호텔 누아,"인천광역시 연수구 능허대로267번길 29 (동춘동,외3필지 지상12층(소암길11))",37.39800788,126.6511249,동춘동
라마다송도호텔 블랑,"인천광역시 연수구 능허대로267번길 29 (동춘동,외3필지 지상12층(소암길11))",37.42166878,126.646917,동춘동
라마다송도호텔 벨뷰,"인천광역시 연수구 능허대로267번길 29 (동춘동,외3필지 지상12층(소암길11))",37.42724775,126.6588092,동춘동
송도갈매기주식회사,"인천광역시 연수구 능허대로151번길 25 (옥련동, 지상1,2층)",37.41700454,126.6563728,옥련동
페리카나치킨,"인천광역시 연수구 비류대로 216 (옥련동,(지상1층4호))",37.42723602,126.6579215,옥련동
전이랑 찌개랑,"인천광역시 연수구 한나루로196번길 13-16, 지상1층 (옥련동)",37.42240333,126.6916732,옥련동
노승문참치,"인천광역시 연수구 청량로 100, 지하1층, 지상1층 (동춘동)",37.41487088,126.6505605,동춘동
(주)송도골프(클럽하우스식당),"인천광역시 연수구 능허대로 236 (동춘동,(옥련동 595 외7필지 지상2층))",37.41420579,126.6553571,동춘동
정담명가 남원추어탕,"인천광역시 연수구 청량로155번길 3 (옥련동,지하1층, 지상1,2층(청량로111))",37.4152879,126.6579515,옥련동
페리카나 치킨,"인천광역시 연수구 원인재로 315 (연수동,1동 연수택지개발 13BL 주공상가103(지상1))",37.42078942,126.6522284,연수동
산수갑산식당,"인천광역시 연수구 청량로 76 (동춘동,동춘1동(지상1층))",37.41562239,126.6870656,동춘동
선(동춘점) (주)퍼시픽스타,"인천광역시 연수구 능허대로267번길 59 (동춘동, 지상1층)",37.41624566,126.6854259,동춘동
충남서산꽃게집,"인천광역시 연수구 대암로 15 (옥련동, 지상1층)",37.42486652,126.7017219,옥련동
만리성,인천광역시 연수구 선학로 90 (선학동),37.41386038,126.6574775,선학동
마로니치킨,인천광역시 연수구 원인재로 222 (연수동),37.40072245,126.6674326,연수동
다미분식,"인천광역시 연수구 먼우금로 19, 상가동 118호 (동춘동, 동남아파트)",37.41404739,126.6580431,동춘동
알렉산더치킨,인천광역시 연수구 새말로 152 (연수동),37.41420579,126.6553571,연수동
송도 주막,"인천광역시 연수구 청량로79번길 36 (동춘동,동춘1동(지상1층))",37.41655186,126.6579875,동춘동
