상호명,도로명주소,전화번호,위도,경도
떼르베,"인천광역시 연수구 능허대로267번길 29, 지상1층 (동춘동)",,37.41420579,126.6553571
가을꽃.겨울나무,"인천광역시 연수구 앵고개로83번길 9 (동춘동,동춘1동(지상1층))",,37.4126634,126.6544501
에이엔에스 커피(Ans),"인천광역시 연수구 청량로 106, 1층 (옥련동)",,37.41747447,126.6557871
베네치아 송도점,"인천광역시 연수구 능허대로267번길 64, 지상1,2층 (동춘동)",,37.41414081,126.6569869
호구커피,"인천광역시 연수구 샘말로 15-1, 지상1층 (연수동)",,37.41228473,126.6779503
글렌 연수문화공원점,"인천광역시 연수구 새말로107번길 6, 1층 104호 (연수동, 영남프라자)",,37.41881373,126.681658
아미고,"인천광역시 연수구 샘말로 15-10 (연수동,2동(지상1층))",,37.41262632,126.6778171
쥬씨(JUICY) 연수점,"인천광역시 연수구 청능대로113번길 21 (연수동,지상1층)",,37.41345595,126.6773545
디초콜렛커피(DE CHOCOLATE COFFEE),"인천광역시 연수구 샘말로21번길 14-13 (연수동,지상1층)",,37.41350936,126.6781641
마고,"인천광역시 연수구 앵고개로101번길 34-13 (동춘동,지상1층)",,37.41479956,126.6563347
꿀스커피&비어,"인천광역시 연수구 계림로112번길 31 (청학동,(지상1층))",,37.42626067,126.6692453
엔제리너스 동춘점,"인천광역시 연수구 앵고개로 250 (동춘동, 108호,109호,205호(지상1층,지상2층))",,37.40818455,126.6715059
컴포즈커피(선학점),"인천광역시 연수구 학나래로118번길 9 (선학동, 선학프라자 106호)",,37.42799023,126.6984687
일리카페,"인천광역시 연수구 테크노파크로 151 (송도동, 지상1층)",,37.38812566,126.6408019
허니비커피 송도점,"인천광역시 연수구 인천타워대로 99 (송도동, 애니오션빌딩 104호)",,37.38117899,126.6423044
디저트39(Dessert39),"인천광역시 연수구 컨벤시아대로 81, 지상1층 111호 (송도동, 드림시티)",,37.39494268,126.6501653
더치앤빈,"인천광역시 연수구 송도미래로 30, 에프동 지상2층 204호 (송도동, 송도비알씨스마트밸리 지식산업센터)",,37.36728943,126.6490966
크로마이트커피,"인천광역시 연수구 청량로155번길 39-5, 1층 (옥련동)",,37.42129778,126.6505964
유캔두잇,"인천광역시 연수구 컨벤시아대로 90 (송도동,현대힐스테이트 501동 143호 지상1층)",,37.39495208,126.647839
"그날, 오후","인천광역시 연수구 해돋이로 107, G동 지상1층 64호 (송도동, 송도더샾퍼스트월드)",,37.38960595,126.648814
