종별,의료기관명,도로명주소,전화번호,위도,경도,동구분
종합병원,의료법인 나사렛의료재단 나사렛국제병원,"인천광역시 연수구 먼우금로 98 (동춘동, 나사렛국제병원)",032-899-9999,37.408014,126.670519,동춘동
병원,인천적십자병원,"인천광역시 연수구 원인재로 263 (연수동, 인천적십자병원)",032-899-4000,37.418197,126.689615,연수동
병원,송도미소어린이병원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A동 7,8,9층 (송도동)",032-834-2553,37.383471,126.642519,송도동
병원,플러스병원,인천광역시 연수구 컨벤시아대로130번길 14 (송도동),032-859-8000,37.392948,126.644815,송도동
병원,나래병원,"인천광역시 연수구 청능대로 69 (청학동, 연세다나병원)",032-821-0033,37.415953,126.674127,청학동
요양병원,송도베스트요양병원,인천광역시 연수구 옥련로 29 (옥련동),032-859-8588,37.417019,126.678112,옥련동
요양병원,로하스인천요양병원,"인천광역시 연수구 벚꽃로 114, 브랫슬 7~8층 (연수동)",032-421-1288,37.418596,126.688837,연수동
요양병원,경인의료재활센터병원,인천광역시 연수구 원인재로 263 (연수동),032-899-4000,37.415428,126.651584,연수동
요양병원,송도효자병원,"인천광역시 연수구 능허대로 235 (옥련동, 송도효자병원)",032-832-9900,37.395717,126.651006,옥련동
치과병원,22세기서울치과병원,"인천광역시 연수구 컨벤시아대로 69, 415호 (송도동, 송도 밀레니엄)",032-858-2080,37.394883,126.650117,송도동
치과병원,서울시카고치과병원,"인천광역시 연수구 컨벤시아대로 81, 701,704호 (송도동, 드림시티)",032-777-1122,37.425081,126.64428,송도동
한방병원,행복한방병원,"인천광역시 연수구 독배로 49, 3,4층 (옥련동, 럭키빌딩)",032-833-0040,37.390558,126.636717,옥련동
의원,샘내과의원,"인천광역시 연수구 인천타워대로132번길 34, 4,5층 401,402,501호 (송도동)",032-833-2021,37.383498,126.642493,송도동
의원,알라딘의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 4층 A-412,413호 (송도동)",032-831-7891,37.383498,126.642493,송도동
의원,잇츠미성형외과의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 5층 A-501,502,503,504,505호 (송도동)",032-851-1103,37.413384,126.676506,송도동
