상호명,도로명주소,전화번호,위도,경도
엄마손약국,"인천광역시 연수구 신송로 154, 더 제니스 1층 115호 (송도동)",,37.395487,126.65216
타임365약국,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A-116,117,118호 (송도동)",,37.38363,126.643147
파미스 하나약국,"인천광역시 연수구 먼우금로188번길 12, 이리옴3빌딩 106,107,108호 (연수동)",032-815-0153,37.413384,126.676506
쾌차약국,"인천광역시 연수구 신송로 161, 송도 하이츠 115호 (송도동)",,37.395487,126.65216
랜드마크약국,"인천광역시 연수구 랜드마크로 68, 206호 (송도동, 랜드마크시티센트럴더샵)",032-859-0206,37.414954,126.623276
별온누리약국,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A-110,111,112호 (송도동)",032-832-9933,37.383498,126.642493
팜프라자 연수제일약국,"인천광역시 연수구 앵고개로 266, 한양2차아파트(롯데슈퍼) 상가A동 1층 일부호 (동춘동)",032-822-3138,37.407465,126.673107
테라스파란문약국,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 판매시설동 148호 (송도동)",032-833-6209,37.382496,126.655478
감성약국,"인천광역시 연수구 랜드마크로 68, 301동 255호 (송도동, 랜드마크시티센트럴더샵)",032-831-7579,37.414954,126.623276
송도우정약국,"인천광역시 연수구 랜드마크로 68, 301동 269호 (송도동, 랜드마크시티센트럴더샵)",032-858-0222,37.414954,126.623276
마리나약국,"인천광역시 연수구 랜드마크로 160, 213동 109호 (송도동, 더샵 송도 마리나베이)",032-858-1133,37.411938,126.611563
새로이약국,"인천광역시 연수구 인천타워대로132번길 34, 103호 (송도동)",032-859-8834,37.390558,126.636717
열린약국,"인천광역시 연수구 먼우금로 194, 1층 117호 (연수동)",032-812-8611,37.41428,126.676985
스마트약국,"인천광역시 연수구 송도미래로 30, 송도 BRC 스마트밸리 지식산업센터 E동 204호 일부호 (송도동)",032-822-3200,37.366466,126.648429
연수바른약국,"인천광역시 연수구 학나래로 12, 1층 (선학동)",032-811-8899,37.423901,126.696667
스타약국,"인천광역시 연수구 해돋이로 160-4, 골든게이트 101호 (송도동)",070-4154-8628,37.390984,126.650837
햇살온누리약국,"인천광역시 연수구 앵고개로104번길 4, 준빌딩 104호 (동춘동)",070-7630-0620,37.412797,126.656931
송도캠퍼스약국,"인천광역시 연수구 송도과학로27번길 55, 3층 A-311호 (송도동, 롯데캐슬 캠퍼스타운)",032-819-4450,37.388054,126.665132
타워온누리약국,"인천광역시 연수구 센트럴로 263, 송도국제업무단지 C8-2블럭 업무복합시설 3층 (송도동)",,37.398299,126.63373
송도시온약국,"인천광역시 연수구 해돋이로 165, 차오름 프라자 109호 (송도동)",032-833-7058,37.390984,126.650837
성약국,"인천광역시 연수구 샘말로7번길 7, 썬클리닉빌딩 1층 (연수동)",032-817-5575,37.412135,126.677365
플러스약국,"인천광역시 연수구 신송로 166, 플러스원프라자 107호 (송도동)",070-4141-8628,37.44619,126.694488
메티스약국,"인천광역시 연수구 테크노파크로111번길 4, 드 메티스 빌딩 103,104호 (송도동)",032-831-1236,37.387223,126.643826
송도센트럴약국,"인천광역시 연수구 송도국제대로 261, 114호 (송도동, 송도 더샵 센트럴시티)",032-822-1718,37.384878,126.658734
복음약국,"인천광역시 연수구 먼우금로 88, 상산빌딩 304호 (동춘동)",032-814-3608,37.406688,126.670337
송도활기찬약국,"인천광역시 연수구 신송로 166, 플러스원프라자 103호 (송도동)",032-834-2480,37.44619,126.694488
송도활기찬약국,"인천광역시 연수구 신송로 166, 플러스원프라자 103호 (송도동)",032-834-2480,37.44619,126.694488
바른약국,"인천광역시 연수구 먼우금로188번길 12, 이리옴3빌딩 115호 (연수동)",812-7180,37.413384,126.676506
수프라자약국,"인천광역시 연수구 앵고개로264번길 30-4, 영남프라자 1층 102호 (동춘동)",032-814-8341,37.40678,126.671818
솔빛약국,"인천광역시 연수구 신송로 153, 더 마란츠타워 111,112호 (송도동)",032-831-0040,37.397047,126.649456
송도제일약국,"인천광역시 연수구 송도국제대로 157, 오네스타 1층 A-111호 (송도동)",032-817-8864,37.384878,126.658734
송도약국,인천광역시 연수구 한나루로196번길 2 (옥련동),032-834-5878,37.426554,126.65716
퍼스트약국,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 102-1호 (송도동)",032-832-5975,37.392921,126.646044
스퀘어365약국,"인천광역시 연수구 청능대로 210, 스퀘어원 3층 (동춘동)",032-456-4377,37.406106,126.683724
송도더사랑약국,"인천광역시 연수구 해돋이로 167, 힐링플라자 103호 (송도동)",032-834-3366,37.390984,126.650837
씨티온누리약국,"인천광역시 연수구 해돋이로 168-15, 103호 (송도동, 글로벌시티프라자)",032-831-6559,37.390984,126.650837
서울온누리약국,"인천광역시 연수구 해돋이로 168, 102호 (송도동, 혜인프라자)",070-4144-0075,37.390984,126.650837
해든소망약국,"인천광역시 연수구 먼우금로 189, 2층 (청학동, 소망글로벌)",032-814-2600,37.422474,126.669874
송도니트약국,"인천광역시 연수구 컨벤시아대로 165, 5층 (송도동, 동북아트레이드타워)",032-833-8324,37.389167,126.643889
효약국,"인천광역시 연수구 청학로 5 (청학동, 행복빌딩)",032-833-5798,37.427522,126.663245
송도우리약국,"인천광역시 연수구 송도문화로84번길 24, 209호 (송도동, 송도에듀포레푸르지오)",032-813-0507,37.372751,126.659912
스마일약국,"인천광역시 연수구 해돋이로 161, 105, 106호 (송도동, 세종프라자)",032-831-5568,37.390984,126.650837
캠퍼스메이플약국,"인천광역시 연수구 송도과학로27번길 55, A동 107호 (송도동, 롯데캐슬캠퍼스타운)",032-216-6369,37.388054,126.665132
새봄약국,"인천광역시 연수구 청능대로 210, 홈플러스 지하1층 X8,YK호 (동춘동)",032-817-2722,37.413628,126.675972
송도바이오약국,"인천광역시 연수구 송도바이오대로 300 (송도동, 삼성바이오로직스)",032-455-9966,37.365816,126.661007
한마음약국,"인천광역시 연수구 송도문화로28번길 28, 203동 208호 (송도동, 송도글로벌캠퍼스푸르지오)",070-4126-9715,37.376661,126.653793
동아온누리약국,"인천광역시 연수구 앵고개로264번길 10-1 (동춘동, 아촌빌딩)",032-812-7582,37.407216,126.672309
경동한약국,"인천광역시 연수구 새말로 150, 2층 201호 (연수동, 주공3차아파트상가동)",032-815-0023,37.41625,126.685312
송도B1약국,"인천광역시 연수구 송도국제대로 165, 지하1층 (송도동, 홈플러스 송도점)",032-812-2582,37.380364,126.656312
중앙약국,"인천광역시 연수구 신송로125번길 7, 4층 408호 (송도동, 이리옴프라자)",032-831-9111,37.394881,126.651559
센트럴파크약국,"인천광역시 연수구 컨벤시아대로130번길 14, 1층 108,109호 (송도동)",032-831-7507,37.392958,126.644811
global연세약국,"인천광역시 연수구 송도문화로28번길 28, 204동 1층 119호 (송도동, 글로벌캠퍼스푸르지오)",032-811-0158,37.375328,126.654224
늘사랑약국,"인천광역시 연수구 앵고개로264번길 46, 105호 (동춘동)",032-817-8999,37.406642,126.670814
건강백세약국,인천광역시 연수구 학나래로6번길 6 (선학동),032-813-2273,37.42353,126.696822
하늘약국,"인천광역시 연수구 컨벤시아대로 177, 2층 (송도동, 롯데마트)",070-4159-8817,37.388365,126.642887
송도신세계약국,"인천광역시 연수구 해돋이로 107, H동 8호 (송도동, 더 퍼스트월드)",032-835-7045,37.391075,126.648036
우리팜아름약국,"인천광역시 연수구 용담로 11, 2층 202-1호 (청학동, 시대아파트상가)",032-812-7235,37.422474,126.669874
희망약국,"인천광역시 연수구 청명로 5, 1층 (청학동)",032-822-0994,37.416556,126.674183
봄빛약국,"인천광역시 연수구 원인재로 180, 101호 (연수동, 연수우성2차아파트상가)",032-817-9082,37.41179,126.685076
뉴송도약국,"인천광역시 연수구 해돋이로 102, 1층 103호 (송도동, 명인프라자)",032-831-0881,37.391371,126.651056
파란샘온누리약국,"인천광역시 연수구 원인재로 237, 107호 (연수동, 대우1차@상가)",032-812-8465,37.417381,126.687335
원약국,인천광역시 연수구 먼우금로 189 (청학동),032-218-1007,37.414586,126.675845
백화점온누리약국,인천광역시 연수구 비류대로 208 (옥련동),032-831-4787,37.427405,126.657699
늘푸른약국,"인천광역시 연수구 앵고개로 250, 204호 (동춘동)",032-812-4815,37.407683,126.671176
송도중앙약국,"인천광역시 연수구 인천타워대로54번길 13, 1층 103호 (송도동, 해승메디피아)",032-851-3771,37.379129,126.64635
고려약국,"인천광역시 연수구 컨벤시아대로130번길 58, B동 1층 102호 (송도동, 자이하버뷰)",032-859-8275,37.396197,126.641533
미래팜약국,"인천광역시 연수구 독배로 42 (옥련동, 해창빌딩)",032-833-4350,37.424491,126.644895
아이누리약국,"인천광역시 연수구 컨벤시아대로 81, B동 3층 301호 (송도동, 드림시티)",032-851-0069,37.394883,126.650117
뉴코아약국,"인천광역시 연수구 용담로 11, 205호 (청학동, 시대아파트상가)",032-814-9444,37.421443,126.668697
양지약국,"인천광역시 연수구 용담로 115, 112호 (연수동, 파크타워)",032-822-4119,37.415072,126.677781
천세약국,"인천광역시 연수구 청능대로 87, 지하1층 (청학동, 롯데마트 연수점 내)",032-811-0107,37.415057,126.675168
삼호약국,인천광역시 연수구 함박뫼로12번길 1 (청학동),032-813-0530,37.418584,126.671538
연수태평양약국,인천광역시 연수구 먼우금로188번길 12 (연수동),032-818-7010,37.413384,126.676506
송도프라자약국,인천광역시 연수구 한나루로 194-3 (옥련동),032-831-8318,37.426377,126.657198
연수푸른약국,"인천광역시 연수구 용담로 115, 305호 (연수동, 파크타워)",032-818-8825,37.415072,126.677781
효성약국,"인천광역시 연수구 원인재로 88, 101호 (동춘동, 대우삼환아파트상가)",032-814-7997,37.406399,126.677402
헬스원약국,"인천광역시 연수구 센트럴로 160, 140, 141호 (송도동, 파크게이트 )",032-832-9907,37.394328,126.640779
푸른약국,"인천광역시 연수구 먼우금로 96, 1층 (동춘동)",032-814-6888,37.407683,126.671176
센타약국,"인천광역시 연수구 신송로 121, 406호 (송도동, 센터프라자)",032-851-0672,37.395319,126.65186
건강나라약국,"인천광역시 연수구 독배로40번길 11, 108호 (옥련동, 효명프라자)",032-858-9012,37.424486,126.645626
윤약국,"인천광역시 연수구 학나래로118번길 9, 107호 (선학동, 선학프라자)",032-814-1345,37.427925,126.698447
풍림약국,"인천광역시 연수구 함박뫼로 250, 101호 (연수동, 풍림1차아파트상가)",032-813-1398,37.417631,126.691835
정명약국,인천광역시 연수구 청학로15번길 4 (청학동),032-833-4557,37.428673,126.663269
송도건강온누리약국,"인천광역시 연수구 컨벤시아대로 69, 4층 408호 (송도동, 밀레니엄빌딩)",032-858-7792,37.395717,126.651006
보룡약국,인천광역시 연수구 독배로40번길 47 (옥련동),032-833-1376,37.424511,126.647566
한울약국,인천광역시 연수구 새말로 32 (연수동),032-818-5578,37.422217,126.674742
신도시약국,"인천광역시 연수구 해돋이로120번길 16, 106호 (송도동, 송도풍림아이원2단지아파트)",032-851-7516,37.393754,126.651689
행복한우리약국,"인천광역시 연수구 앵고개로 256, 101호 (동춘동, 웅지프라자)",032-818-0301,37.407827,126.671976
무지개약국,인천광역시 연수구 새말로 31 (연수동),032-818-5225,37.422417,126.674995
종로약국,"인천광역시 연수구 앵고개로 250, 1층 (동춘동)",032-822-3746,37.407683,126.671176
한누리약국,인천광역시 연수구 청능대로113번길 11 (연수동),032-818-7013,37.413124,126.677061
한솔프라자약국,인천광역시 연수구 독배로 41 (옥련동),032-833-5166,37.424378,126.644339
참사랑약국,인천광역시 연수구 경원대로 184 (동춘동),032-811-0500,37.404158,126.681106
연수건강옵티마약국,"인천광역시 연수구 청능대로 103, 1층 (연수동, BYC빌딩)",032-821-7770,37.413632,126.676281
연수약국,"인천광역시 연수구 용담로 131, 1층 (연수동)",032-817-1283,37.413984,126.679135
인화약국,인천광역시 연수구 학나래로5번길 52 (선학동),032-816-4452,37.423561,126.693695
송도메디칼약국,"인천광역시 연수구 독배로40번길 43, 3층 (옥련동)",032-832-9498,37.424584,126.647226
대동약국,인천광역시 연수구 선학로68번길 4 (선학동),032-812-0056,37.423469,126.701309
대한약국,인천광역시 연수구 비류대로 435 (연수동),032-816-0378,37.424366,126.683008
