일련번호,종류,의료기관명,도로명주소,전화번호,위도,경도,동구분
1,병원,송도연세병원,"인천광역시 연수구 신송로 157-9, 기은빌딩 3~8층 (송도동)",032-832-5488,126.6487032,37.39696112,송도동
2,한방병원,토탈케어한방병원,"인천광역시 연수구 청능대로 109, 탑피온빌딩 10층 1001호, 11층 1호 (연수동)",032-715-5667,126.6767189,37.41298643,연수동
3,한방병원,다나음한방병원,"인천광역시 연수구 먼우금로222번길 13, 지상1~5층 (연수동)",032-813-1070,126.6784258,37.41675425,연수동
4,한방병원,자양한방병원,"인천광역시 연수구 신송로 154, 더 제니스 4층 401호 (송도동)",032-255-1000,126.6497661,37.39777909,송도동
5,한방병원,송도한방병원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A동 6층 (송도동)",032-715-5151,126.6421469,37.38419018,송도동
6,병원,송도미소어린이병원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 A동 7,8,9층 (송도동)",032-834-2553,126.6421469,37.38419018,송도동
7,치과병원,서울시카고치과병원,"인천광역시 연수구 컨벤시아대로 81, 701,704호 (송도동, 드림시티)",032-777-1122,126.6501653,37.39494268,송도동
8,요양병원(일반요양병원),로하스인천요양병원,"인천광역시 연수구 벚꽃로 114, 브랫슬 7~8층 (연수동)",032-421-1288,126.6780921,37.41709445,연수동
9,요양병원(일반요양병원),송도베스트요양병원,인천광역시 연수구 옥련로 29 (옥련동),032-859-8588,126.6426854,37.42749155,옥련동
10,치과병원,22세기서울치과병원,"인천광역시 연수구 컨벤시아대로 69, 415호 (송도동, 송도 밀레니엄)",032-858-2080,126.6509557,37.39571542,송도동
11,한방병원,행복한방병원,"인천광역시 연수구 독배로 49, 3,4층 (옥련동, 럭키빌딩)",032-833-0040,126.6443184,37.42508776,옥련동
12,병원,나래병원,"인천광역시 연수구 청능대로 69 (청학동, 연세다나병원)",032-821-0033,126.6741239,37.4160104,청학동
13,요양병원(일반요양병원),송도효자병원,"인천광역시 연수구 능허대로 235 (옥련동, 송도효자병원)",032-832-9900,126.6520143,37.41542663,옥련동
14,병원,경인권역재활병원,인천광역시 연수구 원인재로 263 (연수동),032-899-4591,126.6893673,37.41904081,연수동
15,종합병원,의료법인 나사렛의료재단 나사렛국제병원,"인천광역시 연수구 먼우금로 98 (동춘동, 나사렛국제병원)",032-899-9999,126.6704837,37.40794843,동춘동
16,병원,인천적십자병원,"인천광역시 연수구 원인재로 263 (연수동, 인천적십자병원)",032-899-4000,126.6893673,37.41904081,연수동
17,의원,비엔씨티(BNCT)의원,"인천광역시 연수구 송도미래로 9, 비알씨(주) 연구소 3동 지하1층 B-B101호 (송도동)",,126.6470528,37.37081435,송도동
18,의원,의료법인 이원의료재단 이원의원,인천광역시 연수구 하모니로 291 (송도동),032-210-2270,126.6354748,37.37265829,송도동
19,의원,플로라유외과의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 B동 5층 504,505호 (송도동)",032-212-3070,126.6421469,37.38419018,송도동
20,의원,노블성형외과의원,"인천광역시 연수구 해돋이로 160-4, 골든게이트 4층 401호 (송도동)",032-508-7007,126.6461744,37.39460296,송도동
21,의원,유쾌한비뇨의학과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 3층 304호 (송도동)",032-831-8575,126.64915,37.39716984,송도동
22,의원,송도그린소아청소년과의원,"인천광역시 연수구 아트센터대로 87, 커낼워크D4 WINTER 402동 2층 216호 (송도동)",032-212-2066,126.6404248,37.40215703,송도동
23,의원,라베성형외과의원,"인천광역시 연수구 신송로 161, 송도 하이츠 2층 201,202호 (송도동)",032-214-0156,126.6484391,37.39759467,송도동
24,의원,연세마이미의원,"인천광역시 연수구 신송로 166, 7층 (송도동, 플러스원프라자)",032-215-1100,126.6484564,37.39843847,송도동
