일련번호	기관명	도로명주소	전화번호	위도	경도
1	연수구청	인천광역시 연수구 원인재로 115	032-749-7114	126.6783386	37.40949413
2	연수구보건소	인천광역시 연수구 함박뫼로 13	032-749-8000	126.6711554	37.41913265
3	옥련1동 행정복지센터	인천광역시 연수구 비류대로186번길 14	032-749-6000	126.6550916	37.42737717
4	송도건강생활지원센터	인천광역시 연수구 인천타워대로54번길 19	032-749-6914	126.6465729	37.37978212
5	선학동 행정복지센터	인천광역시 연수구 선학로 54	032-749-6100	126.7012972	37.4225048
6	옥련2동 행정복지센터	인천광역시 연수구 옥련로 82	032-749-6050	126.6482905	37.42618995
7	연수1동 행정복지센터	인천광역시 연수구 함박뫼로 127	032-749-6150	126.6810566	37.42225454
8	연수3동 행정복지센터	인천광역시 연수구 원인재로 283	032-749-6250	126.691959	37.41932896
9	연수2동 행정복지센터	인천광역시 연수구 원인재로 158	032-749-6200	126.6818369	37.41167083
10	연수구의회	인천광역시 연수구 원인재로 115	032-749-8373	126.6783386	37.40949413
11	동춘2동 행정복지센터	인천광역시 연수구 먼우금로 41	032-749-6400	126.6693212	37.40274936
12	청학동 행정복지센터	인천광역시 연수구 비류대로294번길 26	032-749-6300	126.6660911	37.42501262
13	동춘3동 행정복지센터	인천광역시 연수구 원인재로 110	032-749-6450	126.678326	37.40845748
14	송도1동 행정복지센터	인천광역시 연수구 하모니로35번길 8	032-749-6500	126.6520799	37.39105265
15	송도2동 행정복지센터	인천광역시 연수구 신송로 248	032-749-6550	126.6416481	37.40327188
16	송도3동 행정복지센터	인천광역시 연수구 송도교육로 63	032-749-6780	126.6601641	37.37148506
17	연수청학도서관	인천광역시 연수구 솔샘로 146	032-749-8270	126.6609781	37.42559116
18	송도4동 행정복지센터	인천광역시 연수구 컨벤시아대로252번길 79	032-749-6850	126.629783	37.38816676
19	송도5동 행정복지센터	인천광역시 연수구 인천타워대로 501	032-749-6980	126.6232683	37.41391178
20	해돋이도서관	인천광역시 연수구 해돋이로 7	032-749-6950	126.6590475	37.38582136
21	동춘1동 행정복지센터	인천광역시 연수구 먼우금로 117	032-749-6350	126.670774	37.40959815
22	연수어린이도서관	인천광역시 연수구 먼우금로 164	032-749-8200	126.6747383	37.41233897
23	선학별빛도서관	인천광역시 연수구 넘말로 30	032-749-6710	126.6978866	37.42984578
24	동춘나래도서관	인천광역시 연수구 봉재산로54번길 30	032-749-8240	126.6640546	37.40782383
25	연수문화원	인천광역시 연수구 비류대로 299	032-821-6229	126.6676687	37.42630546
26	연수구시설안전관리공단	인천광역시 연수구 갯벌로12 미추홀타워17층	032-830-8000	126.6558423	37.38254191
27	함박비류도서관	인천광역시 연수구 연수동 1번지	032-749-6970	126.6865944	37.42610072
28	연수문화재단	인천광역시 연수구 원인재로 115 연수구청 별관 3층	032-822-1000	126.6783386	37.40949413
29	인천평생학습관	인천광역시 연수구 경원대로 73	032-899-1588	126.6720853	37.39830253
30	송도국제어린이도서관	인천광역시 연수구 컨벤시아대로 43	032-749-8220	126.6536487	37.3979791
31	인천광역시 동부교육지원청	인천광역시 남동구 인주대로 923	032-460-6000	126.740382	37.44848982
32	인천경제자유구역청	인천광역시 연수구 아트센터대로 175	032-453-7114	126.6337952	37.39574778
33	인천광역시립박물관	인천광역시 연수구 청량로160번길 26	032-440-6750	126.6529677	37.42066943
34	청학문화센터	인천광역시 연수구 비류대로 299	032-821-6229	126.6676687	37.42630546
35	연수구선거관리위원회	인천광역시 연수구 용담로 99번길 4	032-819-1390	126.6766127	37.41607914
36	동춘지구대	인천광역시 연수구 먼우금로45번길 5	032-453-0820	126.6692521	37.40293185
37	인천광역시 연수도서관	인천광역시 연수구 함박뫼로152번길 96	032-899-7500	126.6853252	37.41791517
38	연수지구대	인천광역시 연수구 함박뫼로 11-8	032-453-0810	126.6709237	37.41876868
39	선학파출소	인천광역시 연수구 선학로 58	032-453-0850	126.7011852	37.42273119
40	인천여성의광장	인천광역시 연수구 앵고개로 183	032-815-7101	126.6661859	37.4133083
41	해양경찰청	인천광역시 연수구 해돋이로 130	032-835-2000	126.649682	37.39362233
42	송도국제도시지구대	인천광역시 연수구 해돋이로 96	032-453-0830	126.6515887	37.39113656
43	옥련지구대	인천광역시 연수구 비류대로 215	032-453-0860	126.6586607	37.42784429
44	인천연수경찰서	인천광역시 연수구 원인재로 138	032-453-0762	126.6815192	37.4103851
45	동춘119안전센터	인천광역시 연수구 앵고개로 241	032-813-2119	126.6712885	37.40914928
46	인천해양경찰서	인천광역시 연수구 옥골로 69	032-650-2000	126.6494286	37.43132413
47	인천송도소방서	인천광역시 연수구 첨단대로60번길 15	032-810-6600	126.6515881	37.36722801
48	중부지방해양경찰청	인천광역시 연수구 센트럴로 263	032-728-8000	126.6335872	37.39866124
49	송도국제도시2지구대	인천광역시 연수구 송도과학로51번길 70	032-453-0840	126.6693334	37.38679722
50	인천우체국	인천광역시 연수구 함박뫼로 226	032-850-8100	126.6908036	37.41932556
51	국제119안전센터	인천광역시 연수구 센트럴로 412	032-810-6119	126.6287816	37.41022815
52	옥련119안전센터	인천광역시 연수구 청량로155번길 7	032-832-0119	126.6519246	37.42067187
53	인천공단소방서	인천광역시 남동구 남동서로 208	032-723-5519	126.6930008	37.40817639
54	인천시청자미디어센터	인천광역시 연수구 인천타워대로54번길 19	032-722-7900	126.6465729	37.37978212
55	미래119안전센터	인천광역시 연수구 첨단대로60번길 15	032-810-6660	126.6515881	37.36722801
56	인천연수동우체국	인천광역시 연수구 비류대로 436	032-812-2105	126.6830638	37.42381245
57	인천송도동우체국	인천광역시 연수구 하모니로35번길 2	032-858-6442	126.6517702	37.39126676
58	인천옥련동우체국	인천광역시 연수구 한진로38번길 9	032-834-2105	126.6487214	37.42605876
59	신송119안전센터	인천광역시 연수구 해돋이로 92	032-834-8119	126.6518923	37.39092151
60	KT연수지사	인천광역시 연수구 청능대로 145	032-813-0200	126.6795374	37.41078238
61	국립농산물품질관리원 경기지원 인천사무소	인천광역시 연수구 넘말로47번길 30	032-310-3600	126.6956949	37.42902688
62	인천환경공단 신항사업소	인천광역시 연수구 인천신항대로892번길 50	032-899-4900	126.6180409	37.35292229
63	인천송도G-타워우체국	인천광역시 연수구 아트센터대로 175	032-858-0140	126.6337952	37.39574778
64	한국가스공사 인천생산기지	인천광역시 연수구 인천신항대로 950	032-810-4502	126.6146044	37.35047196
65	인천적십자병원	인천광역시 연수구 원인재로 263	032-899-4000	126.6893673	37.41904081
66	대한적십자인천지사(혈액원)	인천광역시 연수구 함박뫼로 220	032-815-0631	126.6899717	37.41964526
67	인천환경공단 승기사업소	인천광역시 연수구 능허대로  484	032-899-0200	126.6704754	37.3988636
68	중소벤처기업진흥공단 인천지역본부	인천광역시 연수구 갯벌로 12	1357(중소기업통합콜센터)	126.6558423	37.38254191
69	한국전력공사 남인천지사	인천광역시 연수구 비류대로 304	032-830-5267	126.6683177	37.42504453
70	인천환경공단 송도사업소	인천광역시 연수구 인천신항대로892번길 50	032-899-4600	126.6180409	37.35292229
71	인천관광공사	인천광역시 연수구 갯벌로 12	032-899-7300	126.6558423	37.38254191
