상호명,도로명주소,전화번호,위도,경도
롯데마트 연수점,인천광역시 연수구 청능대로 87 (청학동),032-810-2500,37.4150726,126.675151
이마트 연수점,인천광역시 연수구 경원대로 184 (동춘동),032-820-1050,37.4040962,126.680993
홈플러스 인천연수점,인천광역시 연수구 청능대로 210 (동춘동),032-430-8123,37.4059596,126.683684
롯데마트 송도점,인천광역시 연수구 컨벤시아대로 177 (송도동),032-222-2523,37.3882206,126.643368
코스트코 홀세일 송도점,인천광역시 연수구 송도동 98번지,02-2630-2784,37.3896312,126.633288
홈플러스 인천송도점,인천광역시 연수구 송도국제대로 165(송도동),032-220-8051,37.3801051,126.656402
롯데슈퍼 연수점,인천광역시 연수구 앵고개로 266 ,,37.37654053,126.6329014
롯데마트 송도점,인천광역시 연수구 컨벤시아대로 177,,37.39378585,126.6418738
홈플러스 인천송도점,인천광역시 연수구 컨벤시아대로 177 ,,37.38022559,126.656372
GS수퍼 송도캠퍼스점,인천광역시 연수구 송도과학로27번길 55,,37.40599741,126.6836222
GS수퍼 송도마스터뷰점,인천광역시 연수구 컨벤시아대로274번길 15,,37.41511405,126.6778155
GS더프레시 인천동춘점,인천광역시 연수구 봉재산로36번길 1,,37.42508829,126.6859997
GS더프레시 송도파크자이점,인천광역시 연수구 능허대로289번길 11,,37.38467593,126.6411413
GS수퍼 송도점,인천광역시 연수구 해돋이로 107,,37.36728943,126.6490966
GS더프레시 송도마리나점,인천광역시 연수구 랜드마크로 160,,37.41904081,126.6893673
다온나마트 연수청량타운점,인천광역시 연수구 청량로164번길 52,,37.41563898,126.6212329
GS더프레시 송도랜드마크점,인천광역시 연수구 랜드마크로 68,,37.39767944,126.6381192
 GS슈퍼마켓 송도그린워크점,인천광역시 연수구 아트센터대로97번길 15,,37.40599741,126.6836222
GS더프레시 연수점,인천광역시 연수구 원인재로 88,,37.41563898,126.6212329
