상호명,도로명주소,전화번호,위도,경도
영남 세탁소,인천광역시 연수구 비류대로 230 (옥련동),032-833-0168,37.426921,126.660236
현대퍼크로세탁소,인천광역시 연수구 원인재로 56 (동춘동),032-811-7946,37.403309,126.676195
안국사,인천광역시 연수구 원인재로 315 (연수동),032-811-1229,37.421151,126.691934
선학 세탁,인천광역시 연수구 선학로 14 (선학동),032-813-1467,37.418756,126.696356
에스케이뷰 세탁,"인천광역시 연수구 랜드마크로 19, 송도 SK VIEW 207호 (송도동, 송도 SK VIEW)",032-813-1416,37.383912,126.643855
하야네,인천광역시 연수구 한나루로196번길 13-5 (옥련동),032-832-7669,37.4268,126.657661
현대세탁소,인천광역시 연수구 옥련로 33 (옥련동),032-833-5080,37.427965,126.643673
금호세탁,"인천광역시 연수구 선학로 100, 1층 2호 (선학동, 금호타운상가)",032-814-7773,37.42613,126.701
효정세탁소,인천광역시 연수구 새말로 6 (연수동),032-814-2885,37.424097,126.672134
충청유천빨래방,인천광역시 연수구 먼우금로 302 (연수동),032-816-8289,37.422806,126.684115
유일세탁소,인천광역시 연수구 청학로 23 (청학동),032-833-2749,37.429235,126.663328
빛나라 세탁소,인천광역시 연수구 청학로16번길 61-1 (청학동),032-833-5849,37.428006,126.666786
임마누엘세탁,인천광역시 연수구 경원대로119번길 21 (동춘동),032-813-5245,37.401677,126.674525
로얄 세탁소,인천광역시 연수구 먼우금로 123 (동춘동),032-816-7861,37.411098,126.670145
옥련 셀프 크리닝,인천광역시 연수구 한나루로180번길 20 (옥련동),032-832-1223,37.424802,126.65712
대동월드 세탁,인천광역시 연수구 벚꽃로 172 (연수동),032-812-8866,37.413243,126.681392
용담 세탁,인천광역시 연수구 용담로 25 (청학동),032-816-9917,37.421122,126.671417
원세탁빨래방,인천광역시 연수구 비류대로529번길 21 (선학동),032-819-7345,37.424084,126.693229
은혜 세탁,인천광역시 연수구 함박로8번길 40 (연수동),032-818-0209,37.424957,126.681002
다듬이 셀프 크리닝,"인천광역시 연수구 함박안로62번길 42 (연수동,(1동))",032-0819-2779,37.422158,126.681586
서울 세탁소,"인천광역시 연수구 함박로12번길 17 (연수동,(1동))",032-819-1279,37.425531,126.679858
황해세탁소,인천광역시 연수구 원인재로 222 (연수동),032-813-2782,37.414683,126.687855
대인사,"인천광역시 연수구 청능대로 175 (연수동,우성1차상가 103호(2동) (1층))",032-819-9157,37.410077,126.683225
연수 세탁,"인천광역시 연수구 원인재로 180, 상가동 지하 1층 03호 (연수동, 연수우성2차아파트)",032-811-6443,37.41179,126.685076
백양세탁소,"인천광역시 연수구 청명로17번길 9 (청학동,1층)",032-818-7721,37.417663,126.67476
동춘마을 세탁,"인천광역시 연수구 먼우금로 123 (동춘동,동춘마을아파트상가 103호 지상1층(먼우금길 57))",032-816-1805,37.393242,126.654065
하얀 세탁소,"인천광역시 연수구 먼우금로83번길 49, 109호 (동춘동, 대림3차아파트 상가)",032-812-4540,37.406938,126.666477
형제세탁,"인천광역시 연수구 원인재로 56 (동춘동,현대분산상가 제2동 1층 405호,406호(일부))",032-819-1939,37.383912,126.643855
럭키 세탁소,"인천광역시 연수구 능허대로79번길 30 (옥련동,럭키종합상가 205호(능허대1로))",032-833-2240,37.422852,126.643284
삼성세탁소,"인천광역시 연수구 학나래로117번길 25 (선학동,(지상1층))",032-819-3623,37.428961,126.69691
LG세탁소,"인천광역시 연수구 학나래로5번길 19, 선학동 1층 101호 (선학동)",032-818-5348,37.423512,126.6956
그린세탁,"인천광역시 연수구 원인재로 180 (연수동,우성2차상가 지하6호)",032-811-2001,37.41179,126.685076
경남 세탁소,인천광역시 연수구 원인재로 312 (연수동),032-813-0513,37.420713,126.694656
동남 세탁소,"인천광역시 연수구 청학로12번길 80 (청학동,(1층)(방울턱1가60))",032-832-0009,37.427061,126.667715
세탁이랑빨래랑,인천광역시 연수구 청학로12번길 45 (청학동),032-833-6686,37.427715,126.666098
선호세탁소,"인천광역시 연수구 솔샘로92번길 3 (청학동,(1층))",032-833-6954,37.425499,126.663635
한양세탁,인천광역시 연수구 원인재로 59 (동춘동),032-816-0064,37.404677,126.669987
현대원흥세탁소,"인천광역시 연수구 능허대로79번길 65 (옥련동,현대3차상가 201호)",032-833-6887,37.426379,126.644228
현대세탁소(바늘과 실),"인천광역시 연수구 한나루로105번길 68, 1층 103호 (옥련동, 현대4차상가)",032-832-4110,37.425292,126.650857
은하수 세탁,"인천광역시 연수구 용담로62번길 21 (청학동,(1층))",032-817-9665,37.417753,126.673155
대우 세탁소,"인천광역시 연수구 동곡재로117번길 22 (동춘동,대우3차 상가 104호(1동))",032-814-2023,37.412381,126.667716
