상호명,도로명주소,전화번호,위도,경도
미니스톱연수점,"인천광역시 연수구 비류대로 230 (옥련동,(지상1층))",,37.4269325,126.660142
미니스톱인천메카점,"인천광역시 연수구 용담로125번길 41 (연수동,지상1층(새말2로 23))",,37.4157521,126.679825
씨유 연수한양점,"인천광역시 연수구 원인재로 124, 123호 (동춘동, 한양아파트상가동)",,37.408132,126.680716
GS25 청학타운점,"인천광역시 연수구 청학로12번길 47 (청학동,지상1층)",,37.4277158,126.666239
씨유 송도아이티센터점,"인천광역시 연수구 송도과학로 32, 지상1층 A105호 (송도동, 송도테크노파크 IT센터)",,37.3819134,126.661667
미니스톱 인천옥련점,"인천광역시 연수구 한나루로197번길 30 (옥련동, 지상1층)",,37.4275678,126.655518
씨유 송도점,"인천광역시 연수구 인권로 9, 지상1층 (옥련동)",,37.4186447,126.651402
GS25 청학수인점,"인천광역시 연수구 청학로6번길 94, 지상1층 (청학동)",,37.4263163,126.66838
씨유 연수청학점,"인천광역시 연수구 용담로 93, 지상1층 102호 (청학동)",,37.4163091,126.675925
GS25 송도스마트밸리점,"인천광역시 연수구 송도미래로 30, C동 (송도동, 송도스마트밸리 103호 일부)",,37.3666202,126.648358
씨유(CU) 청학제일점,인천광역시 연수구 청학로16번길 4,,37.4284835,126.663705
씨유송도센트럴파크 1호점,"인천광역시 연수구 센트럴로 232, A동 지상1층 101호 (송도동, 더샵센트럴파크 1차)",,37.3967178,126.637681
미니스톱 송도그린스퀘어점,"인천광역시 연수구 송도문화로28번길 81, 113동 지상1층 114호 (송도동, 더샵그린스퀘어 )",,37.371617,126.653144
씨유 송도애니오션점,"인천광역시 연수구 인천타워대로 99 (송도동, 애니오션빌딩 지상1층(113호))",,37.3811804,126.642283
씨유 청학현대점,"인천광역시 연수구 계림로112번길 4, 지상1층 (청학동)",,37.4275535,126.669392
씨유(CU)연수원룸,"인천광역시 연수구 함박로7번길 10 (연수동, 지상1층)",,37.4253793,126.678134
씨유송도푸르지오시티점,"인천광역시 연수구 아트센터대로 203 (송도동, 송도센트럴파크푸르지오시티 117호)",,37.3952202,126.631273
GS25 청학본점,"인천광역시 연수구 비류대로278번길 8-3, 1층 (청학동)",,37.426001,126.665207
세븐일레븐 인천선학본점,"인천광역시 연수구 학나래로117번길 19, 1층 (선학동)",,37.4288536,126.697157
GS25 옥련현대점,"인천광역시 연수구 한진로 58, 1층 (옥련동)",,37.4274938,126.648751
GS25 송도스카이점,"인천광역시 연수구 송도과학로27번길 55, B동 107호 (송도동, 롯데캐슬 캠퍼스타운)",,37.3880049,126.665049
씨유(CU) 청학플러스점,"인천광역시 연수구 청학로6번길 33, 1층 (청학동)",,37.4273712,126.665461
씨유 연수대림점,"인천광역시 연수구 원인재로 286, 상가동 112호 (연수동, 대림아파트)",,37.4206668,126.694953
GS25연수선학점,"인천광역시 연수구 넘말로29번길 21 (선학동, 지상1층)",,37.4284377,126.696582
GS25 동춘태평점,"인천광역시 연수구 앵고개로206번길 10 (동춘동, 태평@상가 101호, 102호편의점내)",,37.4106973,126.666767
GS25 연수점,"인천광역시 연수구 새말로46번길 4, 1층 (연수동)",,37.4213989,126.675587
세븐일레븐 송도푸르지오시티점,"인천광역시 연수구 아트센터대로 203, 106호 (송도동, 송도센트럴파크푸르지오시티)",,37.3952202,126.631273
GS25 연수청학점,"인천광역시 연수구 함박로 50, 1층 (연수동)",,37.4254999,126.682732
GS25 연수타운점,"인천광역시 연수구 샘말로21번길 3, 1층 (연수동)",,37.4125401,126.678201
GS25연수골드점,"인천광역시 연수구 함박로 80, 1층 (연수동)",,37.4252204,126.686009
GS25 에듀포레점,"인천광역시 연수구 송도문화로84번길 24, 상가동 105,106호 (송도동, 송도에듀포레푸르지오)",,37.3739316,126.658971
씨유송도더프라우점,"인천광역시 연수구 컨벤시아대로42번길 12 (송도동, 송도더프라우 202동 109호)",,37.3993455,126.651525
세븐일레븐 인천송도3호점,"인천광역시 연수구 대암로22번길 3, 1층 (옥련동)",,37.417917,126.652117
홈웨이 편의점,"인천광역시 연수구 컨벤시아대로391번길 20, 1층 (송도동, 송도제24호근린공원복합문화시설)",,37.3710262,126.630692
GS25 송도순이,"인천광역시 연수구 송도문화로28번길 81, 114동 106호 일부호 (송도동, 송도더샵그린스퀘어)",,37.371617,126.653144
인천대생협 복지회관점 GS25,"인천광역시 연수구 아카데미로 119, 1층 (송도동, 인천대학교 송도신캠퍼스 복지회관)",,37.3749504,126.63222
씨유 청학타운점,"인천광역시 연수구 청명로 34, 1층 (청학동, 로얄프라자)",,37.4181935,126.676392
GS25 송도메트로점,"인천광역시 연수구 인천타워대로54번길 3, 1층 103호 (송도동, 메트로프라자)",,37.3785415,126.645627
씨유 연수옥련점,"인천광역시 연수구 한나루로86번길 42 (옥련동, 씨유 연수옥련점내 )",,37.4218474,126.649726
미니스톱 연수함박점,"인천광역시 연수구 함박뫼로50번길 93 (연수동, 지상1층 일부)",,37.4191078,126.677969
GS25 송도트리플점,"인천광역시 연수구 송도과학로16번길 33-4, D동 지상1층 117호 (송도동, 송도트리플스트리트)",,37.378637,126.662822
GS25 연수경원편의점,"인천광역시 연수구 경원대로467번길 13, 지상1층 (선학동)",,37.4259356,126.697632
씨유 송도에이스점,"인천광역시 연수구 컨벤시아대로42번길 27, 지상1층 (송도동, 에이스프라자2  104호일부)",,37.3993483,126.649447
지에스 25 송도하모니점,"인천광역시 연수구 하모니로 124 (송도동, 송도타운 107호 일부)",,37.3855948,126.645074
GS25 동춘풍림점,"인천광역시 연수구 경원대로119번길 21 (동춘동, 연수풍림2차아파트 상가동 지상1층 101호 일부)",,37.400607,126.673565
세븐 일레븐 인천 송도역점,"인천광역시 연수구 비류대로 184 (옥련동, 태영프라자 104호 일부)",,37.4278546,126.654997
씨유 동춘현대점,"인천광역시 연수구 원인재로 56 (동춘동, 현대종합상가 제 1동 지상1층 109호일부)",,37.4033088,126.676377
GS25 옥련아주점,"인천광역시 연수구 청량로 217 (옥련동, 지상1층 일부)",,37.4261265,126.652553
지에스25 송도글로벌점,"인천광역시 연수구 송도문화로28번길 28, 201동 지상1층 1-116호 (송도동, 송도글로벌캠퍼스푸르지오)",,37.3766737,126.65381
세븐일레븐 송도웰카운티점,"인천광역시 연수구 해송로 143, 136동 지상1층 1-1호 (송도동, 송도웰카운티1단지)",,37.3771182,126.64875
세븐일레븐 송도반도타워점,"인천광역시 연수구 테크노파크로111번길 12, 반도타워 104,105호 (송도동)",,37.385455,126.643562
씨유 인천대점,"인천광역시 연수구 아카데미로 119, 인천대학교 인천대학교송도신캠퍼스제2생활관동 지상1층 (송도동)",,37.3749504,126.63222
세븐일레븐 인천연수역점,"인천광역시 연수구 새말로 88, 101호 (연수동)",,37.4186606,126.679169
GS25 퍼스트파크15점,"인천광역시 연수구 컨벤시아대로252번길 30, 1510동 102호 (송도동, 송도 더샵 퍼스트파크 F15BL)",,37.3861414,126.635259
GS25 연수희망점,"인천광역시 연수구 앵고개로 256, 웅지프라자 106호 (동춘동)",,37.4078198,126.672031
미니스톱 송도월드마크점,"인천광역시 연수구 컨벤시아대로 60, 122호 (송도동, 푸르지오월드마크)",,37.3973247,126.650688
씨유 송도더샵퍼스트점,"인천광역시 연수구 컨벤시아대로252번길 70, 1301동 101,102호 (송도동, 송도 더샵 퍼스트파크 F13-1BL)",,37.3884649,126.631984
GS25 퍼스트파크 13점,"인천광역시 연수구 컨벤시아대로252번길 70, 1310동 105호 (송도동, 송도 더샵 퍼스트파크 F13-1BL)",,37.3884649,126.631984
GS25 청능마을점,"인천광역시 연수구 청능말로7번길 19, 1층 (청학동)",,37.4173905,126.669516
GS25 송도커낼워크점,"인천광역시 연수구 아트센터대로 107, 커낼워크D3 AUTUMN 302동 156호 (송도동)",,37.4008206,126.638734
세븐일레븐 송도컨벤시아점,"인천광역시 연수구 센트럴로 123, 송도컨벤시아 M06일부호 (송도동)",,37.3881384,126.645999
씨유 연수엘리점,"인천광역시 연수구 벚꽃로142번길 19, 1층 (연수동)",,37.415249,126.680358
씨유 송도아트윈점,"인천광역시 연수구 인천타워대로 253-25, 아트윈 푸르지오 상가동 118호 (송도동, 아트윈 푸르지오)",,37.3926824,126.632234
GS25 송도라마다점,"인천광역시 연수구 능허대로267번길 29, 지하1층 108호 (동춘동)",,37.413584,126.655032
미니스톱 선학역점,"인천광역시 연수구 학나래로118번길 23, 진승빌딩 지하1층 (선학동)",,37.4272981,126.698417
GS25 옥련풍림점,"인천광역시 연수구 한나루로193번길 3, 1층 (옥련동)",,37.4264172,126.656427
GS25 옥련사랑점,"인천광역시 연수구 한나루로 166, 1층 (옥련동)",,37.4241986,126.655714
GS25 연수우주점,"인천광역시 연수구 함박뫼로 115, 상가동 111,112,113,114호 (연수동, 우주아파트)",,37.422736,126.679441
CU 송도해모로점,"인천광역시 연수구 송도과학로27번길 30, 상가동 104,105호 (송도동, 송도해모로월드뷰)",,37.383959,126.665776
세븐일레븐 인천연수타운점,"인천광역시 연수구 먼우금로 189, 소망빌딩 1층 102호 (청학동)",,37.414606,126.675854
씨유송도뉴타운점,"인천광역시 연수구 신송로125번길 7, 이리옴프라자 106호 (송도동)",,37.3949574,126.651467
CU송도미래점,"인천광역시 연수구 송도미래로 47, 1층 104호 (송도동)",,37.367824,126.650193
지에스25 송도센트럴,"인천광역시 연수구 송도국제대로 261, 231동 1층 101,102호 (송도동, 송도 더샵 센트럴시티)",,37.372669,126.651834
